algorithm,k,c,d,i,ari,obj,t
gmm_ms,3,-0.26,2,9,0.312622237,-8.13255627,0.348343215
gmm_rs,3,-0.26,2,9,0.300899869,-8.208990718,0.148221823
gmm_hg,3,-0.26,2,9,0.246933144,-8.126309121,0.168366437
gmm_shrunk,3,-0.26,2,9,0.22131904,-8.246331646,0.000510852
gmm_ms_shrunk,3,-0.26,2,9,0.305373184,-8.231703488,0.339996255
gmm_rs_shrunk,3,-0.26,2,9,0.383746819,-8.23633985,0.191483472
gmm_hg_shrunk,3,-0.26,2,9,0.299418096,-8.214744659,0.27254375
gmm_oas,3,-0.26,2,9,0.208837922,-8.248722449,0.000518123
gmm_ms_oas,3,-0.26,2,9,0.289065071,-8.226632314,0.334793836
gmm_rs_oas,3,-0.26,2,9,0.295193673,-8.209599992,0.146353998
gmm_hg_oas,3,-0.26,2,9,0.320157106,-8.210159237,0.303227028
gmm_ledoitwolf,3,-0.26,2,9,0.22270119,-8.247570025,0.000588749
gmm_ms_ledoitwolf,3,-0.26,2,9,0.305373184,-8.231036436,0.40035815
gmm_rs_ledoitwolf,3,-0.26,2,9,0.309033015,-8.213013882,0.212159671
gmm_hg_ledoitwolf,3,-0.26,2,9,0.299418096,-8.212806123,0.235276928
kmeans,3,-0.26,2,10,0.570703814,58321.65994,0.000627681
kmeans_ms,3,-0.26,2,10,0.570703814,58321.65994,0.240654662
kmeans_rs,3,-0.26,2,10,0.570703814,58321.65994,0.058069414
kmeans_hg,3,-0.26,2,10,0.570703814,58321.65994,0.062740772
gmm,3,-0.26,2,10,0.459543885,-8.003695948,0.001862476
gmm_ms,3,-0.26,2,10,0.444262043,-7.955678951,0.459998621
gmm_rs,3,-0.26,2,10,0.596379722,-7.991409801,0.258096711
gmm_hg,3,-0.26,2,10,0.428497857,-7.883639138,0.188647124
gmm_shrunk,3,-0.26,2,10,0.20908183,-8.41496239,0.000492628
gmm_ms_shrunk,3,-0.26,2,10,0.30418422,-8.031329858,0.562199502
gmm_rs_shrunk,3,-0.26,2,10,0.521423715,-8.07354214,0.238220658
gmm_hg_shrunk,3,-0.26,2,10,0.312956916,-8.030570094,0.170094064
gmm_oas,3,-0.26,2,10,0.21933297,-8.415988524,0.000431675
gmm_ms_oas,3,-0.26,2,10,0.442879444,-7.975190453,0.48114861
gmm_rs_oas,3,-0.26,2,10,0.61895218,-7.999953464,0.107377481
gmm_hg_oas,3,-0.26,2,10,0.587223694,-7.999957296,0.109023116
gmm_ledoitwolf,3,-0.26,2,10,0.179652952,-8.42103674,0.000534744
gmm_ms_ledoitwolf,3,-0.26,2,10,0.311847444,-8.021800087,0.725595579
gmm_rs_ledoitwolf,3,-0.26,2,10,0.626626377,-8.029820852,0.27480703
gmm_hg_ledoitwolf,3,-0.26,2,10,0.311847444,-8.021891099,0.266012187
kmeans,3,-0.26,2,11,0.503725621,46144.08842,0.000545685
kmeans_ms,3,-0.26,2,11,0.505452671,46098.34411,0.245410351
kmeans_rs,3,-0.26,2,11,0.505452671,46098.34411,0.053342184
kmeans_hg,3,-0.26,2,11,0.505452671,46098.34411,0.070583734
gmm,3,-0.26,2,11,0.437005309,-8.05424235,0.002610951
gmm_ms,3,-0.26,2,11,0.358678064,-8.039670491,0.39415351
gmm_rs,3,-0.26,2,11,0.361115581,-8.037849463,0.118749326
gmm_hg,3,-0.26,2,11,0.359944739,-8.037855129,0.238019969
gmm_shrunk,3,-0.26,2,11,0.572288067,-8.053645334,0.001573238
gmm_ms_shrunk,3,-0.26,2,11,0.395549055,-8.045804887,0.372489258
gmm_rs_shrunk,3,-0.26,2,11,0.355134441,-8.043997213,0.122796964
gmm_hg_shrunk,3,-0.26,2,11,0.390064645,-8.044923922,0.16782291
gmm_oas,3,-0.26,2,11,0.580041718,-8.051778632,0.001907104
gmm_ms_oas,3,-0.26,2,11,0.345294488,-8.040662772,0.37781695
gmm_rs_oas,3,-0.26,2,11,0.334371413,-8.038747735,0.115240312
gmm_hg_oas,3,-0.26,2,11,0.390417408,-8.040409381,0.148459042
gmm_ledoitwolf,3,-0.26,2,11,0.575217143,-8.054044,0.001684558
gmm_ms_ledoitwolf,3,-0.26,2,11,0.372215646,-8.052864099,0.447474319
gmm_rs_ledoitwolf,3,-0.26,2,11,0.399086512,-8.052035884,0.216177379
gmm_hg_ledoitwolf,3,-0.26,2,11,0.377554115,-8.052089274,0.305380575
kmeans,3,-0.26,2,12,0.532346936,63649.39709,0.000994527
kmeans_ms,3,-0.26,2,12,0.534433535,63631.52282,0.270028902
kmeans_rs,3,-0.26,2,12,0.534433535,63631.52282,0.061284826
kmeans_hg,3,-0.26,2,12,0.534433535,63631.52282,0.074552983
gmm,3,-0.26,2,12,0.252094233,-8.41083033,0.000604509
gmm_ms,3,-0.26,2,12,0.3248471,-8.282277028,0.316054642
gmm_rs,3,-0.26,2,12,0.40293998,-8.375437897,0.131252747
gmm_hg,3,-0.26,2,12,0.139838406,-8.364852007,0.132018728
gmm_shrunk,3,-0.26,2,12,0.241711045,-8.411782001,0.000481192
gmm_ms_shrunk,3,-0.26,2,12,0.231104457,-8.349988565,0.286911612
gmm_rs_shrunk,3,-0.26,2,12,0.456518214,-8.37601665,0.088514239
gmm_hg_shrunk,3,-0.26,2,12,0.471199196,-8.375889911,0.152048982
gmm_oas,3,-0.26,2,12,0.234580398,-8.411321201,0.000522014
gmm_ms_oas,3,-0.26,2,12,0.229829102,-8.348996536,0.274508296
gmm_rs_oas,3,-0.26,2,12,0.41517952,-8.377077534,0.10082015
gmm_hg_oas,3,-0.26,2,12,0.476239253,-8.377089149,0.173050869
gmm_ledoitwolf,3,-0.26,2,12,0.227623191,-8.416489298,0.000497542
gmm_ms_ledoitwolf,3,-0.26,2,12,0.508719348,-8.376535975,0.372784396
gmm_rs_ledoitwolf,3,-0.26,2,12,0.51519619,-8.376069495,0.140456518
gmm_hg_ledoitwolf,3,-0.26,2,12,0.506332967,-8.376181074,0.226258825
kmeans,3,-0.26,2,13,0.65129246,24329.69146,0.000419804
kmeans_ms,3,-0.26,2,13,0.65129246,24329.69146,0.193696526
kmeans_rs,3,-0.26,2,13,0.65129246,24329.69146,0.041942508
kmeans_hg,3,-0.26,2,13,0.65129246,24329.69146,0.051347043
gmm,3,-0.26,2,13,0.718284244,-7.260354747,0.000663071
gmm_ms,3,-0.26,2,13,0.504782074,-7.213856264,0.467621647
gmm_rs,3,-0.26,2,13,0.710871556,-7.259574051,0.114943388
gmm_hg,3,-0.26,2,13,0.710712193,-7.2595918,0.185521604
gmm_shrunk,3,-0.26,2,13,0.718284244,-7.266618721,0.00075094
gmm_ms_shrunk,3,-0.26,2,13,0.718284244,-7.265124446,0.436122352
gmm_rs_shrunk,3,-0.26,2,13,0.74533798,-7.265659791,0.091474819
gmm_hg_shrunk,3,-0.26,2,13,0.728249942,-7.265409707,0.163292545
gmm_oas,3,-0.26,2,13,0.718284244,-7.26132174,0.000681485
gmm_ms_oas,3,-0.26,2,13,0.718284244,-7.260184594,0.455791875
gmm_rs_oas,3,-0.26,2,13,0.710712193,-7.260240348,0.218585028
gmm_hg_oas,3,-0.26,2,13,0.710871556,-7.26039626,0.167229636
gmm_ledoitwolf,3,-0.26,2,13,0.710712193,-7.265138195,0.000886274
gmm_ms_ledoitwolf,3,-0.26,2,13,0.718284244,-7.263720939,0.507497895
gmm_rs_ledoitwolf,3,-0.26,2,13,0.719834979,-7.263693186,0.240618557
gmm_hg_ledoitwolf,3,-0.26,2,13,0.72809403,-7.263730698,0.231820334
kmeans,3,-0.26,2,14,0.439434738,56692.16678,0.000703183
kmeans_ms,3,-0.26,2,14,0.433262147,56691.4941,0.34768443
kmeans_rs,3,-0.26,2,14,0.433262147,56691.4941,0.081489701
kmeans_hg,3,-0.26,2,14,0.433262147,56691.4941,0.106197549
gmm,3,-0.26,2,14,0.296970205,-8.296286682,0.000584978
gmm_ms,3,-0.26,2,14,0.234597147,-8.252198363,0.2946444
gmm_rs,3,-0.26,2,14,0.217322441,-8.278421223,0.143749971
gmm_hg,3,-0.26,2,14,0.235576689,-8.278335625,0.130824391
gmm_shrunk,3,-0.26,2,14,0.302497363,-8.295732535,0.000456267
gmm_ms_shrunk,3,-0.26,2,14,0.231655299,-8.269024914,0.259580783
gmm_rs_shrunk,3,-0.26,2,14,0.233447189,-8.287192249,0.112136884
gmm_hg_shrunk,3,-0.26,2,14,0.4370769,-8.290685169,0.078428674
gmm_oas,3,-0.26,2,14,0.300598921,-8.295767211,0.000455207
gmm_ms_oas,3,-0.26,2,14,0.229769801,-8.268867164,0.25732552
gmm_rs_oas,3,-0.26,2,14,0.213571475,-8.281040895,0.147621347
gmm_hg_oas,3,-0.26,2,14,0.245959473,-8.281731895,0.253178402
gmm_ledoitwolf,3,-0.26,2,14,0.31902825,-8.297562265,0.000629067
gmm_ms_ledoitwolf,3,-0.26,2,14,0.231655299,-8.269159562,0.324994074
gmm_rs_ledoitwolf,3,-0.26,2,14,0.206973639,-8.282234778,0.161089168
gmm_hg_ledoitwolf,3,-0.26,2,14,0.206021814,-8.28329901,0.237855151
kmeans,3,-0.26,2,15,0.365906292,49431.59542,0.000756031
kmeans_ms,3,-0.26,2,15,0.365906292,49431.59542,0.253345396
kmeans_rs,3,-0.26,2,15,0.365906292,49431.59542,0.062535798
kmeans_hg,3,-0.26,2,15,0.365906292,49431.59542,0.07391805
gmm,3,-0.26,2,15,0.34262698,-8.098295691,0.001338011
gmm_ms,3,-0.26,2,15,0.591732876,-8.072468199,0.586403634
gmm_rs,3,-0.26,2,15,0.58469307,-8.072018896,0.137757765
gmm_hg,3,-0.26,2,15,0.592027981,-8.072238669,0.331558982
gmm_shrunk,3,-0.26,2,15,0.423763097,-8.102455184,0.001884359
gmm_ms_shrunk,3,-0.26,2,15,0.566557089,-8.08562365,0.549299998
gmm_rs_shrunk,3,-0.26,2,15,0.602129778,-8.086049877,0.155979442
gmm_hg_shrunk,3,-0.26,2,15,0.573552942,-8.08578594,0.215156861
gmm_oas,3,-0.26,2,15,0.359437561,-8.098058286,0.001337985
gmm_ms_oas,3,-0.26,2,15,0.583815361,-8.073268789,0.580827284
gmm_rs_oas,3,-0.26,2,15,0.599714479,-8.073751912,0.138552725
gmm_hg_oas,3,-0.26,2,15,0.601069158,-8.073701695,0.154366849
gmm_ledoitwolf,3,-0.26,2,15,0.394445,-8.098122972,0.00569397
gmm_ms_ledoitwolf,3,-0.26,2,15,0.607570288,-8.075917648,0.65719251
gmm_rs_ledoitwolf,3,-0.26,2,15,0.599195508,-8.075724941,0.125647266
gmm_hg_ledoitwolf,3,-0.26,2,15,0.607570288,-8.076188252,0.154470661
kmeans,3,-0.26,2,16,0.497525041,68144.85689,0.000474593
kmeans_ms,3,-0.26,2,16,0.489578948,68133.70659,0.229779286
kmeans_rs,3,-0.26,2,16,0.489578948,68133.70659,0.050115996
kmeans_hg,3,-0.26,2,16,0.489578948,68133.70659,0.07619554
gmm,3,-0.26,2,16,0.411111684,-8.512732404,0.000460888
gmm_ms,3,-0.26,2,16,0.250958864,-8.488622943,0.336785193
gmm_rs,3,-0.26,2,16,0.436790393,-8.510938909,0.296336506
gmm_hg,3,-0.26,2,16,0.440028803,-8.511627493,0.088800563
gmm_shrunk,3,-0.26,2,16,0.458728939,-8.512391878,0.000435003
gmm_ms_shrunk,3,-0.26,2,16,0.459841223,-8.511352756,0.302649376
gmm_rs_shrunk,3,-0.26,2,16,0.447532727,-8.511698477,0.082832505
gmm_hg_shrunk,3,-0.26,2,16,0.453623286,-8.511043756,0.209286926
gmm_oas,3,-0.26,2,16,0.465088605,-8.512989153,0.000429721
gmm_ms_oas,3,-0.26,2,16,0.243060222,-8.502519437,0.296975046
gmm_rs_oas,3,-0.26,2,16,0.453623286,-8.511863835,0.170459558
gmm_hg_oas,3,-0.26,2,16,0.46741261,-8.512881065,0.115529001
gmm_ledoitwolf,3,-0.26,2,16,0.44658535,-8.512431303,0.000492863
gmm_ms_ledoitwolf,3,-0.26,2,16,0.448150414,-8.511249418,0.416224971
gmm_rs_ledoitwolf,3,-0.26,2,16,0.448150414,-8.510956271,0.248486695
gmm_hg_ledoitwolf,3,-0.26,2,16,0.46586692,-8.511296268,0.257959369
kmeans,3,-0.26,2,17,0.41555051,73539.69632,0.000425432
kmeans_ms,3,-0.26,2,17,0.411877584,73170.51475,0.2398335
kmeans_rs,3,-0.26,2,17,0.411877584,73170.51475,0.058386276
kmeans_hg,3,-0.26,2,17,0.411877584,73170.51475,0.066927233
gmm,3,-0.26,2,17,0.144620877,-8.535512781,0.000544208
gmm_ms,3,-0.26,2,17,0.443090696,-8.457853515,0.412107887
gmm_rs,3,-0.26,2,17,0.460818182,-8.458015133,0.13861383
gmm_hg,3,-0.26,2,17,0.452982843,-8.457196903,0.298434029
gmm_shrunk,3,-0.26,2,17,0.246031029,-8.480228383,0.004584795
gmm_ms_shrunk,3,-0.26,2,17,0.463922849,-8.463481571,0.33170569
gmm_rs_shrunk,3,-0.26,2,17,0.452071812,-8.462485198,0.092910926
gmm_hg_shrunk,3,-0.26,2,17,0.455869108,-8.464576112,0.120768576
gmm_oas,3,-0.26,2,17,0.243016962,-8.478998139,0.00110649
gmm_ms_oas,3,-0.26,2,17,0.450401604,-8.459391976,0.35832437
gmm_rs_oas,3,-0.26,2,17,0.454539785,-8.459476254,0.114370337
gmm_hg_oas,3,-0.26,2,17,0.410463428,-8.458389157,0.18795165
gmm_ledoitwolf,3,-0.26,2,17,0.138639571,-8.53616038,0.000573657
gmm_ms_ledoitwolf,3,-0.26,2,17,0.347176282,-8.461874515,0.39092019
gmm_rs_ledoitwolf,3,-0.26,2,17,0.409296236,-8.462989923,0.121915208
gmm_hg_ledoitwolf,3,-0.26,2,17,0.396036401,-8.462654776,0.19582431
kmeans,3,-0.26,2,18,0.474558082,62324.62811,0.00093019
kmeans_ms,3,-0.26,2,18,0.459172259,62319.01102,0.383319891
kmeans_rs,3,-0.26,2,18,0.459172259,62319.01102,0.086727491
kmeans_hg,3,-0.26,2,18,0.459172259,62319.01102,0.11045364
gmm,3,-0.26,2,18,0.344041165,-8.308420706,0.000638914
gmm_ms,3,-0.26,2,18,0.111367488,-8.29101622,0.338069967
gmm_rs,3,-0.26,2,18,0.348938539,-8.303589056,0.098949048
gmm_hg,3,-0.26,2,18,0.422446344,-8.302617493,0.140691089
gmm_shrunk,3,-0.26,2,18,0.317732499,-8.314515754,0.00040793
gmm_ms_shrunk,3,-0.26,2,18,0.375123968,-8.304508889,0.309455824
gmm_rs_shrunk,3,-0.26,2,18,0.477396838,-8.305464917,0.103945477
gmm_hg_shrunk,3,-0.26,2,18,0.467818564,-8.304475604,0.132012317
gmm_oas,3,-0.26,2,18,0.331658582,-8.309543254,0.000563981
gmm_ms_oas,3,-0.26,2,18,0.066288821,-8.303307996,0.299041603
