algorithm,k,c,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
gmm_rs,3,-0.26,2,1,0.284535401,0.351943217,1,1,0,1,0,0.341895206,0.316209588,1.32292964,0.351943217,-7.448328154,0.181799465
gmm_rs_ledoitwolf,3,-0.26,2,1,0.28140107,0.345294236,0,1,0,1,0,0.340356745,0.319286511,1.350237945,0.345294236,-7.448815662,0.195012219
gmm_rs_oas,3,-0.26,2,1,0.273824696,0.337263345,0,1,0,1,0,0.344169454,0.311661093,1.365357869,0.337263345,-7.449090813,0.178382922
gmm_rs_shrunk,3,-0.26,2,1,0.292000811,0.350429631,0,1,0,1,0,0.334024526,0.331950948,1.343978438,0.350429631,-7.450898323,0.176063186
gmm_shrunk,3,-0.26,2,1,0.336802798,0.349014614,0,0,0,0,0,0.295919732,0.408160535,1.421301244,0.349014614,-7.472416442,0.001494177
kmeans,3,-0.26,2,1,0.419407459,0.425146387,0,2,2,0,0,0.260981048,0.478037904,1.246054205,0.425146387,26399.79042,0.002615323
kmeans_hg,3,-0.26,2,1,0.411566662,0.416251473,0,2,2,0,0,0.26477146,0.470457079,1.264123837,0.416251473,26399.3162,0.646521728
kmeans_ms,3,-0.26,2,1,0.411566662,0.416251473,0,2,2,0,0,0.26477146,0.470457079,1.264123837,0.416251473,26399.3162,0.732593966
kmeans_rs,3,-0.26,2,1,0.411566662,0.416251473,0,2,2,0,0,0.26477146,0.470457079,1.264123837,0.416251473,26399.3162,0.535633571
gmm,3,-0.26,2,2,0.437730267,0.405270445,0,0,0,0,0,0.252998885,0.49400223,1.28720307,0.405270445,-8.148900589,0.003648048
gmm_hg,3,-0.26,2,2,0.357846789,0.366946333,0,0,0,0,0,0.297948718,0.404102564,1.323839148,0.366946333,-8.146720969,0.227509027
gmm_hg_ledoitwolf,3,-0.26,2,2,0.316858697,0.339368409,0,0,0,0,0,0.331527313,0.336945373,1.299555926,0.339368409,-8.147016181,0.282316262
gmm_hg_oas,3,-0.26,2,2,0.483445385,0.422242784,0,0,0,0,0,0.229476031,0.541047938,1.266107681,0.422242784,-8.149269026,0.228850522
gmm_hg_shrunk,3,-0.26,2,2,0.302870881,0.325048099,1,1,1,1,1,0.343634337,0.312731327,1.297513142,0.325048099,-8.149586097,0.240585833
gmm_ledoitwolf,3,-0.26,2,2,0.302658816,0.326130881,0,0,0,0,0,0.326443701,0.347112598,1.397506031,0.326130881,-8.155789261,0.001521647
gmm_ms,3,-0.26,2,2,0.222671505,0.241696145,1,1,1,1,1,0.381984392,0.236031215,1.37942222,0.241696145,-8.132922594,0.245507844
gmm_ms_ledoitwolf,3,-0.26,2,2,0.305189201,0.32013655,0,0,0,0,0,0.334537347,0.330925307,1.357012714,0.32013655,-8.148110921,0.242891444
gmm_ms_oas,3,-0.26,2,2,0.362154619,0.366249719,0,0,0,0,0,0.296833891,0.406332219,1.31806066,0.366249719,-8.149251117,0.199289228
gmm_ms_shrunk,3,-0.26,2,2,0.2848064,0.283268012,1,1,1,1,1,0.356454849,0.287090301,1.298371607,0.283268012,-8.125480242,0.202111567
gmm_oas,3,-0.26,2,2,0.448186425,0.422272637,0,0,0,0,0,0.248717949,0.502564103,1.247879209,0.422272637,-8.151499476,0.001828243
gmm_rs,3,-0.26,2,2,0.426214093,0.388434589,0,0,0,0,0,0.257904125,0.48419175,1.324757734,0.388434589,-8.147590029,0.168178106
gmm_rs_ledoitwolf,3,-0.26,2,2,0.285749727,0.307427553,0,0,0,0,0,0.34006689,0.319866221,1.405510516,0.307427553,-8.147243473,0.206185891
gmm_rs_oas,3,-0.26,2,2,0.4560927,0.422658021,0,0,0,0,0,0.244392419,0.511215162,1.251207077,0.422658021,-8.149542401,0.179139205
gmm_rs_shrunk,3,-0.26,2,2,0.451081261,0.410365829,0,0,0,0,0,0.24613155,0.507736901,1.280418328,0.410365829,-8.15043965,0.138444093
gmm_shrunk,3,-0.26,2,2,0.348212126,0.357145608,0,0,0,0,0,0.302006689,0.395986622,1.347612571,0.357145608,-8.157939089,0.001240864
kmeans,3,-0.26,2,2,0.448540926,0.429606943,0,2,2,0,0,0.248205128,0.503589744,1.235666303,0.429606943,51026.11695,0.001916795
kmeans_hg,3,-0.26,2,2,0.461167537,0.438242635,0,2,2,0,0,0.242051282,0.515897436,1.219103911,0.438242635,51019.66988,0.57843864
kmeans_ms,3,-0.26,2,2,0.461167537,0.438242635,0,2,2,0,0,0.242051282,0.515897436,1.219103911,0.438242635,51019.66988,0.594557614
kmeans_rs,3,-0.26,2,2,0.461167537,0.438242635,0,2,2,0,0,0.242051282,0.515897436,1.219103911,0.438242635,51019.66988,0.447862533
gmm,3,-0.26,2,3,0.234144123,0.290569775,1,1,1,1,1,0.38735786,0.225284281,1.348048554,0.290569775,-7.856911198,0.001829066
gmm_hg,3,-0.26,2,3,0.43048879,0.415142523,0,0,0,0,0,0.257235229,0.485529543,1.261770733,0.415142523,-7.839680413,0.243603403
gmm_hg_ledoitwolf,3,-0.26,2,3,0.273571834,0.333811013,1,1,1,1,1,0.376722408,0.246555184,1.212760808,0.333811013,-7.837008569,0.251422432
gmm_hg_oas,3,-0.26,2,3,0.374467989,0.381325501,0,0,0,0,0,0.285351171,0.429297659,1.323881917,0.381325501,-7.840771013,0.191257938
gmm_hg_shrunk,3,-0.26,2,3,0.249463304,0.333333889,1,1,1,1,1,0.396454849,0.207090301,1.188898709,0.333333889,-7.837398904,0.201287017
gmm_ledoitwolf,3,-0.26,2,3,0.255672771,0.327119582,1,1,1,1,1,0.3896767,0.2206466,1.214020561,0.327119582,-7.858187715,0.001710985
gmm_ms,3,-0.26,2,3,0.181234236,0.242008444,0,1,0,1,0,0.407335563,0.185328874,1.476462269,0.242008444,-7.840861823,0.22103865
gmm_ms_ledoitwolf,3,-0.26,2,3,0.376687984,0.382670178,0,0,0,0,0,0.284080268,0.431839465,1.321981572,0.382670178,-7.842044546,0.221630443
gmm_ms_oas,3,-0.26,2,3,0.374467989,0.381325501,0,0,0,0,0,0.285351171,0.429297659,1.323881917,0.381325501,-7.840771013,0.190338696
gmm_ms_shrunk,3,-0.26,2,3,0.376687984,0.382670178,0,0,0,0,0,0.284080268,0.431839465,1.321981572,0.382670178,-7.842233687,0.189617183
gmm_oas,3,-0.26,2,3,0.306383166,0.339973044,1,1,1,1,1,0.361649944,0.276700111,1.138864464,0.339973044,-7.867032731,0.001254253
gmm_rs,3,-0.26,2,3,0.425463765,0.408042534,0,0,0,0,0,0.259063545,0.48187291,1.280623619,0.408042534,-7.839507408,0.209706838
gmm_rs_ledoitwolf,3,-0.26,2,3,0.467606692,0.454197729,0,0,0,0,0,0.241360089,0.517279822,1.174046071,0.454197729,-7.844104351,0.180633663
gmm_rs_oas,3,-0.26,2,3,0.497623682,0.472067353,0,0,0,0,0,0.226911929,0.546176143,1.13896118,0.472067353,-7.842184899,0.152581543
gmm_rs_shrunk,3,-0.26,2,3,0.452382484,0.440290403,0,0,0,0,0,0.248138239,0.503723523,1.205353239,0.440290403,-7.841937336,0.171029055
gmm_shrunk,3,-0.26,2,3,0.256410094,0.317875709,1,1,1,1,1,0.38483835,0.2303233,1.250855645,0.317875709,-7.858232299,0.007561212
kmeans,3,-0.26,2,3,0.418038921,0.3822579,0,2,2,0,0,0.259018952,0.481962096,1.351308126,0.3822579,38391.76365,0.003903662
kmeans_hg,3,-0.26,2,3,0.418038921,0.3822579,0,2,2,0,0,0.259018952,0.481962096,1.351308126,0.3822579,38391.76365,0.48418831
kmeans_ms,3,-0.26,2,3,0.418038921,0.3822579,0,2,2,0,0,0.259018952,0.481962096,1.351308126,0.3822579,38391.76365,0.562801343
kmeans_rs,3,-0.26,2,3,0.418038921,0.3822579,0,2,2,0,0,0.259018952,0.481962096,1.351308126,0.3822579,38391.76365,0.347685066
gmm,3,-0.26,2,4,0.335898374,0.32963029,0,0,0,0,0,0.303210702,0.393578595,1.434124715,0.32963029,-8.295305484,0.000752845
gmm_hg,3,-0.26,2,4,0.274727904,0.284883761,0,0,0,0,0,0.341070234,0.317859532,1.481806261,0.284883761,-8.292992411,0.192502076
gmm_hg_ledoitwolf,3,-0.26,2,4,0.313774469,0.331797958,0,0,0,0,0,0.316588629,0.366822742,1.417108797,0.331797958,-8.296101411,0.26613573
gmm_hg_oas,3,-0.26,2,4,0.287428258,0.302353037,0,0,0,0,0,0.332865106,0.334269788,1.457919976,0.302353037,-8.29444381,0.169484703
gmm_hg_shrunk,3,-0.26,2,4,0.316679959,0.304683091,0,0,0,0,0,0.311727982,0.376544036,1.487231766,0.304683091,-8.296613476,0.184757323
gmm_ledoitwolf,3,-0.26,2,4,0.337201555,0.329341309,0,0,0,0,0,0.302006689,0.395986622,1.437721415,0.329341309,-8.297294695,0.000586926
gmm_ms,3,-0.26,2,4,0.264855365,0.251161874,1,1,1,1,1,0.366309922,0.267380156,1.365852398,0.251161874,-8.285673207,0.195056674
gmm_ms_ledoitwolf,3,-0.26,2,4,0.23564085,0.241262196,1,1,1,1,1,0.381649944,0.236700111,1.372433564,0.241262196,-8.275474573,0.2059278
gmm_ms_oas,3,-0.26,2,4,0.34423927,0.334432314,0,0,0,0,0,0.298483835,0.40303233,1.428081563,0.334432314,-8.295941165,0.156113419
gmm_ms_shrunk,3,-0.26,2,4,0.351531953,0.335731153,0,0,0,0,0,0.294158305,0.411683389,1.429594013,0.335731153,-8.297564922,0.164471915
gmm_oas,3,-0.26,2,4,0.34423927,0.334432314,0,0,0,0,0,0.298483835,0.40303233,1.428081563,0.334432314,-8.295941165,0.000566171
gmm_rs,3,-0.26,2,4,0.287658156,0.274379911,0,0,0,0,0,0.328428094,0.343143813,1.532951373,0.274379911,-8.292913615,0.188361909
gmm_rs_ledoitwolf,3,-0.26,2,4,0.337201555,0.329341309,0,0,0,0,0,0.302006689,0.395986622,1.437721415,0.329341309,-8.297294695,0.185314265
gmm_rs_oas,3,-0.26,2,4,0.318069133,0.29954156,0,0,0,0,0,0.3096767,0.3806466,1.503714655,0.29954156,-8.29564661,0.165867237
gmm_rs_shrunk,3,-0.26,2,4,0.351531953,0.335731153,0,0,0,0,0,0.294158305,0.411683389,1.429594013,0.335731153,-8.297564922,0.140180473
gmm_shrunk,3,-0.26,2,4,0.351531953,0.335731153,0,0,0,0,0,0.294158305,0.411683389,1.429594013,0.335731153,-8.297564922,0.000511947
kmeans,3,-0.26,2,4,0.407459767,0.381761365,0,2,2,0,0,0.26432553,0.471348941,1.35002584,0.381761365,60226.27048,0.002865148
kmeans_hg,3,-0.26,2,4,0.407459767,0.381761365,0,2,2,0,0,0.26432553,0.471348941,1.35002584,0.381761365,60226.27048,0.714511167
kmeans_ms,3,-0.26,2,4,0.407459767,0.381761365,0,2,2,0,0,0.26432553,0.471348941,1.35002584,0.381761365,60226.27048,0.754981017
kmeans_rs,3,-0.26,2,4,0.407459767,0.381761365,0,2,2,0,0,0.26432553,0.471348941,1.35002584,0.381761365,60226.27048,0.562017875
gmm,3,-0.26,2,5,0.663672834,0.664632663,0,0,0,0,0,0.151460424,0.697079153,0.725055308,0.664632663,-7.691958593,0.002038407
gmm_hg,3,-0.26,2,5,0.703625452,0.68315362,0,0,0,0,0,0.132419175,0.73516165,0.690506026,0.68315362,-7.690006604,0.26549975
gmm_hg_ledoitwolf,3,-0.26,2,5,0.507459382,0.498105093,0,0,0,0,0,0.219286511,0.561426979,1.097546338,0.498105093,-7.796997256,0.467993915
gmm_hg_oas,3,-0.26,2,5,0.703175398,0.679601022,0,0,0,0,0,0.132463768,0.735072464,0.699066336,0.679601022,-7.700263533,0.270005804
gmm_hg_shrunk,3,-0.26,2,5,0.559246968,0.560953356,0,0,0,0,0,0.198639911,0.602720178,0.948405818,0.560953356,-7.765452135,0.286605272
gmm_ledoitwolf,3,-0.26,2,5,0.486452253,0.48375637,0,1,0,1,0,0.230078038,0.539843924,1.122154183,0.48375637,-7.856722568,0.002207267
gmm_ms,3,-0.26,2,5,0.695955477,0.673796555,0,0,0,0,0,0.135763657,0.728472687,0.71132661,0.673796555,-7.690036623,0.372695122
gmm_ms_ledoitwolf,3,-0.26,2,5,0.544286651,0.532745907,0,0,0,0,0,0.202073579,0.595852843,1.025667254,0.532745907,-7.760673625,0.452179237
gmm_ms_oas,3,-0.26,2,5,0.703175398,0.679601022,0,0,0,0,0,0.132463768,0.735072464,0.699066336,0.679601022,-7.700263533,0.336778621
gmm_ms_shrunk,3,-0.26,2,5,0.551845705,0.551797683,0,0,0,0,0,0.201114827,0.597770346,0.972486226,0.551797683,-7.764248347,0.337622797
gmm_oas,3,-0.26,2,5,0.643843233,0.649256117,0,0,0,0,0,0.160824972,0.678350056,0.756114583,0.649256117,-7.702635214,0.001348526
gmm_rs,3,-0.26,2,5,0.695735215,0.671167539,0,0,0,0,0,0.135852843,0.728294314,0.717098478,0.671167539,-7.69001649,0.214946539
gmm_rs_ledoitwolf,3,-0.26,2,5,0.508700523,0.502124397,0,0,0,0,0,0.218996656,0.562006689,1.08752353,0.502124397,-7.787623608,0.2986103
gmm_rs_oas,3,-0.26,2,5,0.695118076,0.66889238,0,0,0,0,0,0.135852843,0.728294314,0.72351464,0.66889238,-7.700391213,0.20904385
gmm_rs_shrunk,3,-0.26,2,5,0.554476712,0.557625225,0,0,0,0,0,0.200981048,0.598037904,0.954639312,0.557625225,-7.768330504,0.263220697
gmm_shrunk,3,-0.26,2,5,0.583782767,0.598994168,0,0,0,0,0,0.190033445,0.61993311,0.854369828,0.598994168,-7.777583436,0.001824502
kmeans,3,-0.26,2,5,0.479095821,0.491167455,0,2,2,0,0,0.231973244,0.536053512,1.112775803,0.491167455,43188.75795,0.001662958
kmeans_hg,3,-0.26,2,5,0.484234991,0.494959161,0,2,2,0,0,0.229587514,0.540824972,1.104878788,0.494959161,43178.01829,0.634166769
kmeans_ms,3,-0.26,2,5,0.484234991,0.494959161,0,2,2,0,0,0.229587514,0.540824972,1.104878788,0.494959161,43178.01829,0.671079589
kmeans_rs,3,-0.26,2,5,0.484234991,0.494959161,0,2,2,0,0,0.229587514,0.540824972,1.104878788,0.494959161,43178.01829,0.43749818
gmm,3,-0.26,2,6,0.593697696,0.566938411,0,0,0,0,0,0.181672241,0.636655518,0.943199564,0.566938411,-7.911147148,0.000747161
gmm_hg,3,-0.26,2,6,0.58749599,0.561871145,0,0,0,0,0,0.18477146,0.630457079,0.952509991,0.561871145,-7.910807177,0.373420394
gmm_hg_ledoitwolf,3,-0.26,2,6,0.584880371,0.560242725,0,0,0,0,0,0.185574136,0.628851728,0.957951462,0.560242725,-7.925768019,0.355695149
gmm_hg_oas,3,-0.26,2,6,0.59875149,0.570869729,0,0,0,0,0,0.179799331,0.640401338,0.93251596,0.570869729,-7.912737158,0.398178377
gmm_hg_shrunk,3,-0.26,2,6,0.571564783,0.548320873,0,0,0,0,0,0.191326644,0.617346711,0.984963366,0.548320873,-7.932053118,0.32326415
gmm_ledoitwolf,3,-0.26,2,6,0.572181295,0.549747111,0,0,0,0,0,0.191727982,0.616544036,0.978324808,0.549747111,-7.927714955,0.000636078
gmm_ms,3,-0.26,2,6,0.58749599,0.561871145,0,0,0,0,0,0.18477146,0.630457079,0.952509991,0.561871145,-7.910893981,0.381725009
gmm_ms_ledoitwolf,3,-0.26,2,6,0.576571415,0.546446883,0,0,0,0,0,0.188918618,0.622162765,0.989874413,0.546446883,-7.924744998,0.378178686
gmm_ms_oas,3,-0.26,2,6,0.594065909,0.581370562,0,0,0,0,0,0.182140468,0.635719064,0.908589975,0.581370562,-7.912632887,0.386355039
gmm_ms_shrunk,3,-0.26,2,6,0.564066307,0.536574993,0,0,0,0,0,0.194537347,0.610925307,1.011253284,0.536574993,-7.930758691,0.355262257
gmm_oas,3,-0.26,2,6,0.586471982,0.564729687,0,0,0,0,0,0.184949833,0.630100334,0.94781724,0.564729687,-7.915408639,0.000616255
gmm_rs,3,-0.26,2,6,0.593340157,0.56587246,0,0,0,0,0,0.182006689,0.635986622,0.94455423,0.56587246,-7.910706695,0.296690291
gmm_rs_ledoitwolf,3,-0.26,2,6,0.557519277,0.531010349,0,0,0,0,0,0.197369008,0.605261984,1.023863346,0.531010349,-7.92694255,0.329845171
gmm_rs_oas,3,-0.26,2,6,0.592030468,0.565107471,0,0,0,0,0,0.182943144,0.634113712,0.944339366,0.565107471,-7.912994179,0.265304025
gmm_rs_shrunk,3,-0.26,2,6,0.584880371,0.560242725,0,0,0,0,0,0.185574136,0.628851728,0.957951462,0.560242725,-7.93259883,0.280184077
gmm_shrunk,3,-0.26,2,6,0.578564779,0.555176987,0,0,0,0,0,0.188740245,0.622519509,0.967192943,0.555176987,-7.93268252,0.000535363
kmeans,3,-0.26,2,6,0.400133962,0.423701916,0,2,2,0,0,0.265930881,0.468138239,1.26532581,0.423701916,42372.92761,0.001590684
kmeans_hg,3,-0.26,2,6,0.400133962,0.423701916,0,2,2,0,0,0.265930881,0.468138239,1.26532581,0.423701916,42372.92761,0.511308967
kmeans_ms,3,-0.26,2,6,0.400133962,0.423701916,0,2,2,0,0,0.265930881,0.468138239,1.26532581,0.423701916,42372.92761,0.519612301
kmeans_rs,3,-0.26,2,6,0.400133962,0.423701916,0,2,2,0,0,0.265930881,0.468138239,1.26532581,0.423701916,42372.92761,0.359729092
gmm,3,-0.26,2,7,0.57462467,0.517463451,0,0,0,0,0,0.189409142,0.621181717,1.055096386,0.517463451,-8.387374672,0.000683215
gmm_hg,3,-0.26,2,7,0.30808315,0.404583537,0,0,0,0,0,0.334827202,0.330345596,1.203909721,0.404583537,-8.381587219,0.189954208
gmm_hg_ledoitwolf,3,-0.26,2,7,0.435689975,0.461137922,0,0,0,0,0,0.258617614,0.482764771,1.149510106,0.461137922,-8.386005636,0.338241079
gmm_hg_oas,3,-0.26,2,7,0.304785921,0.393755542,0,1,0,1,0,0.336789298,0.326421405,1.2233089,0.393755542,-8.382174886,0.233304875
gmm_hg_shrunk,3,-0.26,2,7,0.306929717,0.404270402,0,0,0,0,0,0.334492754,0.331014493,1.208505108,0.404270402,-8.382845697,0.196729941
gmm_ledoitwolf,3,-0.26,2,7,0.56718918,0.51050024,0,0,0,0,0,0.192798216,0.614403567,1.069888621,0.51050024,-8.387788663,0.000702831
gmm_ms,3,-0.26,2,7,0.320203447,0.370725262,0,1,0,1,0,0.334604236,0.330791527,1.233779322,0.370725262,-8.376468514,0.218066048
gmm_ms_ledoitwolf,3,-0.26,2,7,0.573838872,0.535728826,0,0,0,0,0,0.190657748,0.618684504,1.011202404,0.535728826,-8.386892538,0.254549637
gmm_ms_oas,3,-0.26,2,7,0.205178528,0.267184945,0,1,0,1,0,0.377859532,0.244280936,1.49902257,0.267184945,-8.382345341,0.201461347
gmm_ms_shrunk,3,-0.26,2,7,0.306929717,0.404270402,0,0,0,0,0,0.334492754,0.331014493,1.208505108,0.404270402,-8.382845697,0.212472296
gmm_oas,3,-0.26,2,7,0.589891701,0.532197188,0,0,0,0,0,0.182586399,0.634827202,1.023060111,0.532197188,-8.39140628,0.00053408
gmm_rs,3,-0.26,2,7,0.304919629,0.40204696,0,1,0,1,0,0.337101449,0.325797101,1.206075639,0.40204696,-8.381415991,0.191454397
gmm_rs_ledoitwolf,3,-0.26,2,7,0.431534825,0.460375521,0,0,0,0,0,0.260847269,0.478305463,1.149895555,0.460375521,-8.385676081,0.258965371
gmm_rs_oas,3,-0.26,2,7,0.304086093,0.41444241,0,1,0,1,0,0.339219621,0.321560758,1.17378052,0.41444241,-8.382721006,0.197972594
gmm_rs_shrunk,3,-0.26,2,7,0.300193467,0.398978036,0,0,0,0,0,0.339219621,0.321560758,1.21343792,0.398978036,-8.383171338,0.187383943
gmm_shrunk,3,-0.26,2,7,0.57462467,0.517212421,0,0,0,0,0,0.189409142,0.621181717,1.055645279,0.517212421,-8.388105321,0.000534176
kmeans,3,-0.26,2,7,0.563626425,0.505806845,0,2,2,0,0,0.194358974,0.611282051,1.080344564,0.505806845,61429.06422,0.001475484
kmeans_hg,3,-0.26,2,7,0.56876369,0.512648857,0,2,2,0,0,0.19212932,0.61574136,1.065243828,0.512648857,61425.66133,0.469700861
kmeans_ms,3,-0.26,2,7,0.56876369,0.512648857,0,2,2,0,0,0.19212932,0.61574136,1.065243828,0.512648857,61425.66133,0.49560791
kmeans_rs,3,-0.26,2,7,0.56876369,0.512648857,0,2,2,0,0,0.19212932,0.61574136,1.065243828,0.512648857,61425.66133,0.340779598
gmm,3,-0.26,2,8,0.334756642,0.321938959,0,0,0,0,0,0.301181717,0.397636566,1.458340771,0.321938959,-8.327682878,0.002418674
gmm_hg,3,-0.26,2,8,0.205305486,0.20744847,1,1,1,1,1,0.396365663,0.207268673,1.472599395,0.20744847,-8.294160411,0.265488322
gmm_hg_ledoitwolf,3,-0.26,2,8,0.370006017,0.344125416,0,0,0,0,0,0.283500557,0.432998885,1.41996633,0.344125416,-8.320701043,0.289629278
gmm_hg_oas,3,-0.26,2,8,0.358532417,0.33080403,0,0,0,0,0,0.288093645,0.423812709,1.451563945,0.33080403,-8.321425993,0.245802485
gmm_hg_shrunk,3,-0.26,2,8,0.389609897,0.357066366,0,0,0,0,0,0.273534002,0.452931996,1.397452474,0.357066366,-8.320380009,0.208773841
gmm_ledoitwolf,3,-0.26,2,8,0.332517855,0.316127276,0,0,0,0,0,0.301828317,0.396343367,1.473044894,0.316127276,-8.328109997,0.002140813
gmm_ms,3,-0.26,2,8,0.210740357,0.218306055,1,1,1,1,1,0.389476031,0.221047938,1.464970868,0.218306055,-8.298205899,0.247985401
gmm_ms_ledoitwolf,3,-0.26,2,8,0.213628616,0.206950147,1,1,1,1,1,0.389632107,0.220735786,1.50200427,0.206950147,-8.318471534,0.282543186
gmm_ms_oas,3,-0.26,2,8,0.213054456,0.207541428,1,1,1,1,1,0.391036789,0.217926421,1.497385426,0.207541428,-8.318408384,0.227104133
gmm_ms_shrunk,3,-0.26,2,8,0.403149995,0.365926079,0,0,0,0,0,0.266733556,0.466532887,1.38173579,0.365926079,-8.320875915,0.241291982
gmm_oas,3,-0.26,2,8,0.348063935,0.334415035,0,0,0,0,0,0.294916388,0.410167224,1.432824114,0.334415035,-8.331867737,0.001710558
gmm_rs,3,-0.26,2,8,0.408000032,0.364283859,0,0,0,0,0,0.262564103,0.474871795,1.395173075,0.364283859,-8.320267255,0.181139627
gmm_rs_ledoitwolf,3,-0.26,2,8,0.406512754,0.360166464,0,0,0,0,0,0.263366778,0.473266444,1.403504083,0.360166464,-8.320782517,0.153202826
gmm_rs_oas,3,-0.26,2,8,0.379933408,0.344553739,0,0,0,0,0,0.275852843,0.448294314,1.43454538,0.344553739,-8.321385187,0.169793056
gmm_rs_shrunk,3,-0.26,2,8,0.396826766,0.361386979,0,0,0,0,0,0.269632107,0.460735786,1.39132386,0.361386979,-8.320210828,0.176885219
gmm_shrunk,3,-0.26,2,8,0.338427914,0.320295316,0,0,0,0,0,0.299041249,0.401917503,1.464506318,0.320295316,-8.327401642,0.001911488
kmeans,3,-0.26,2,8,0.407799347,0.36342322,0,2,2,0,0,0.263522854,0.472954292,1.393109341,0.36342322,58844.35756,0.002823768
kmeans_hg,3,-0.26,2,8,0.366655818,0.32755273,0,2,2,0,0,0.282675585,0.434648829,1.467751451,0.32755273,58692.36397,0.550755686
kmeans_ms,3,-0.26,2,8,0.366655818,0.32755273,0,2,2,0,0,0.282675585,0.434648829,1.467751451,0.32755273,58692.36397,0.592597384
kmeans_rs,3,-0.26,2,8,0.366655818,0.32755273,0,2,2,0,0,0.282675585,0.434648829,1.467751451,0.32755273,58692.36397,0.420099579
gmm,3,-0.26,2,9,0.268867019,0.33059189,1,1,1,1,1,0.341761427,0.316477146,1.394594108,0.33059189,-8.2611525,0.00146951
gmm_hg,3,-0.26,2,9,0.248278323,0.339531248,1,1,1,1,1,0.417302118,0.165395764,1.109690238,0.339531248,-8.126641452,0.311359001
gmm_hg_ledoitwolf,3,-0.26,2,9,0.324970063,0.348105804,1,1,1,1,1,0.328851728,0.342296544,1.264949201,0.348105804,-8.213513454,0.268521151
gmm_hg_oas,3,-0.26,2,9,0.309033015,0.340957385,1,1,1,1,1,0.340445931,0.319108138,1.264271417,0.340957385,-8.212116379,0.229690147
gmm_hg_shrunk,3,-0.26,2,9,0.318873548,0.342593517,1,1,1,1,1,0.33277592,0.334448161,1.269622603,0.342593517,-8.215188875,0.234379521
gmm_ledoitwolf,3,-0.26,2,9,0.272973565,0.323078297,1,1,1,1,1,0.351817168,0.296365663,1.3560372,0.323078297,-8.258703407,0.001466884
gmm_ms,3,-0.26,2,9,0.259069857,0.33590304,1,1,1,1,1,0.378372352,0.243255295,1.156489247,0.33590304,-8.213323561,0.21890937
gmm_ms_ledoitwolf,3,-0.26,2,9,0.151975359,0.26802937,1,1,1,1,1,0.476053512,0.047892977,1.179391761,0.26802937,-8.230888957,0.237258801
gmm_ms_oas,3,-0.26,2,9,0.243192337,0.322435461,1,1,1,1,1,0.406265329,0.187469342,1.147119437,0.322435461,-8.217183513,0.207023215
gmm_ms_shrunk,3,-0.26,2,9,0.220321383,0.302166009,1,1,1,1,1,0.421114827,0.157770346,1.173984977,0.302166009,-8.218463648,0.207325319
gmm_oas,3,-0.26,2,9,0.284982158,0.342292385,0,1,1,1,1,0.33877369,0.32245262,1.347898609,0.342292385,-8.261207018,0.001231738
gmm_rs,3,-0.26,2,9,0.380632171,0.422358936,0,0,0,0,0,0.286443701,0.427112598,1.220987869,0.422358936,-8.235612463,0.159907625
gmm_rs_ledoitwolf,3,-0.26,2,9,0.409737483,0.415966419,0,0,0,0,0,0.266421405,0.467157191,1.262043745,0.415966419,-8.237663337,0.168595797
