algorithm,dataset,n,k,d,i,ari,obj,t
gmm,image_segmentation,2310,7,18,10,0.276464691,24.39404117,0.232033209
gmm_ms,image_segmentation,2310,7,18,10,0.301381257,28.81913001,554.8065103
gmm_rs,image_segmentation,2310,7,18,10,0.264323272,25.17992872,28.92141482
gmm_hg,image_segmentation,2310,7,18,10,0.26379667,25.85724081,78.11426783
gmm_shrunk,image_segmentation,2310,7,18,10,0.465934395,-59.58353243,0.174150037
gmm_ms_shrunk,image_segmentation,2310,7,18,10,0.368190058,-58.24441402,59.73923849
gmm_rs_shrunk,image_segmentation,2310,7,18,10,0.468200411,-59.55925853,22.1054367
gmm_hg_shrunk,image_segmentation,2310,7,18,10,0.464570011,-59.5581765,11.80448438
kmeans,ionosphere,351,2,33,10,0.177606855,2419.364807,0.001451935
kmeans_hg,ionosphere,351,2,33,10,0.177606855,2419.364807,0.163538749
gmm,ionosphere,351,2,33,10,-0.016186104,-8.240532019,0.00541832
gmm_ms,ionosphere,351,2,33,10,0.742392259,27.96537265,2.862973044
gmm_rs,ionosphere,351,2,33,10,0.693743378,28.31578117,1.985509246
gmm_hg,ionosphere,351,2,33,10,0.722942435,28.18153043,162.3467633
gmm_shrunk,ionosphere,351,2,33,10,-0.012255854,-10.0115577,0.003666845
gmm_ms_shrunk,ionosphere,351,2,33,10,0.731723251,-0.343791547,3.22369259
gmm_rs_shrunk,ionosphere,351,2,33,10,0.731723251,-0.343715556,0.93843748
gmm_hg_shrunk,ionosphere,351,2,33,10,0.731723251,-0.343740526,0.867868108
kmeans,iris,150,3,4,10,0.730238272,78.94084143,0.00014628
kmeans_hg,iris,150,3,4,10,0.730238272,78.94084143,0.034027568
gmm,iris,150,3,4,10,0.903874232,-1.206871993,0.001205217
gmm_ms,iris,150,3,4,10,0.522898857,-0.756240288,0.48916325
gmm_rs,iris,150,3,4,10,0.903874232,-1.20664639,0.173154097
gmm_hg,iris,150,3,4,10,0.531229047,-0.882339614,0.443255694
gmm_shrunk,iris,150,3,4,10,0.960266667,-1.332429782,0.001824077
gmm_ms_shrunk,iris,150,3,4,10,0.94104498,-1.322105289,0.335127201
gmm_rs_shrunk,iris,150,3,4,10,0.94104498,-1.322611427,0.11517626
gmm_hg_shrunk,iris,150,3,4,10,0.94104498,-1.322603533,0.256582481
kmeans,magic,19020,2,10,10,0.059461797,2.01E+08,0.069260277
kmeans_hg,magic,19020,2,10,10,0.059461797,2.01E+08,19.38451999
gmm,magic,19020,2,10,10,0.062114544,-28.43834556,0.08012982
gmm_ms,magic,19020,2,10,10,0.059569214,-28.43698483,41.3763611
gmm_rs,magic,19020,2,10,10,0.05768517,-28.43757304,11.92619525
gmm_hg,magic,19020,2,10,10,0.059886106,-28.43705372,13.8858564
gmm_shrunk,magic,19020,2,10,10,0.179235947,-42.50088985,0.082353535
gmm_ms_shrunk,magic,19020,2,10,10,0.155547289,-42.02427442,44.09467024
gmm_rs_shrunk,magic,19020,2,10,10,0.128026502,-41.89423002,22.25475295
gmm_hg_shrunk,magic,19020,2,10,10,0.179235947,-42.50052123,12.56653027
kmeans,seeds,210,3,7,10,0.716619856,587.3186116,0.00038581
kmeans_hg,seeds,210,3,7,10,0.716619856,587.3186116,0.066389723
gmm,seeds,210,3,7,10,0.67358726,5.915533739,0.001529019
gmm_ms,seeds,210,3,7,10,0.561765622,6.104965402,0.852075023
gmm_rs,seeds,210,3,7,10,0.578951491,6.105303885,0.322542794
gmm_hg,seeds,210,3,7,10,0.561765622,6.105014816,0.163799333
gmm_shrunk,seeds,210,3,7,10,0.721256868,-1.79537496,0.001236958
gmm_ms_shrunk,seeds,210,3,7,10,0.699984355,-1.793518907,0.742074283
gmm_rs_shrunk,seeds,210,3,7,10,0.721081893,-1.793249017,0.187248364
gmm_hg_shrunk,seeds,210,3,7,10,0.721256868,-1.795069446,0.21811691
kmeans,spect,267,2,22,10,-0.031700204,1006.363975,0.000849932
kmeans_hg,spect,267,2,22,10,-0.002881882,1005.130159,0.276016124
gmm,spect,267,2,22,10,-0.098051298,-7.554835363,0.001905489
gmm_ms,spect,267,2,22,10,-0.028577421,10.02320527,8.137778345
gmm_rs,spect,267,2,22,10,0.211802778,6.755035083,0.292966141
gmm_hg,spect,267,2,22,10,0.099234167,9.642820417,0.454184803
gmm_shrunk,spect,267,2,22,10,-0.097798366,-7.791028056,0.000826714
gmm_ms_shrunk,spect,267,2,22,10,0.042440592,-5.237867654,2.078216114
gmm_rs_shrunk,spect,267,2,22,10,0.329719347,-3.990652989,0.262067283
gmm_hg_shrunk,spect,267,2,22,10,0.252966107,-4.03867788,0.731904087
kmeans,wholesale,440,6,6,10,0.103853208,4.73E+10,0.003233491
kmeans_hg,wholesale,440,6,6,10,0.113090339,4.65E+10,0.401277072
gmm,wholesale,440,6,6,10,0.109974002,-55.20695499,0.010249864
gmm_ms,wholesale,440,6,6,10,0.116622541,-54.59806477,3.729648573
gmm_rs,wholesale,440,6,6,10,0.176092286,-54.40307735,1.884668481
gmm_hg,wholesale,440,6,6,10,0.107857369,-54.48580264,2.409867173
gmm_shrunk,wholesale,440,6,6,10,0.156577777,-56.42118988,0.00531188
gmm_ms_shrunk,wholesale,440,6,6,10,0.133364658,-55.93587549,3.902772568
gmm_rs_shrunk,wholesale,440,6,6,10,0.218785173,-56.29244605,0.680853898
gmm_hg_shrunk,wholesale,440,6,6,10,0.147730958,-55.95563184,0.832173917
kmeans,wines,178,3,13,10,0.371113718,2.37E+06,0.000262906
kmeans_hg,wines,178,3,13,10,0.371113718,2.37E+06,0.06158098
gmm,wines,178,3,13,10,0.632147264,-16.38755431,0.002396646
gmm_ms,wines,178,3,13,10,0.48986919,-15.35935674,3.802733925
gmm_rs,wines,178,3,13,10,0.403850814,-15.94055516,0.139251535
gmm_hg,wines,178,3,13,10,-0.001200589,-15.07474906,0.264984286
gmm_shrunk,wines,178,3,13,10,0.302824312,-49.19077658,0.026716806
gmm_ms_shrunk,wines,178,3,13,10,0.367036556,-48.56692119,10.59809795
gmm_rs_shrunk,wines,178,3,13,10,0.314474053,-48.80901211,8.333364221
gmm_hg_shrunk,wines,178,3,13,10,0.346927587,-48.21167419,4.886037801
kmeans,yeast,1484,10,8,10,0.12341922,52.42499916,0.014804815
kmeans_hg,yeast,1484,10,8,10,0.14794922,45.24338998,4.135883008
gmm,yeast,1484,10,8,10,0.002220461,12.9581624,0.023235753
gmm_ms,yeast,1484,10,8,10,0.028435525,44.93619854,186.9304277
gmm_rs,yeast,1484,10,8,10,0.002275936,41.76751311,143.2502876
gmm_hg,yeast,1484,10,8,10,0.008405365,42.53491646,164.9628797
gmm_shrunk,yeast,1484,10,8,10,0.122297315,12.01709134,0.033950945
gmm_ms_shrunk,yeast,1484,10,8,10,0.197583896,12.15453197,15.39671242
gmm_rs_shrunk,yeast,1484,10,8,10,0.202390438,12.15493092,3.936642479
gmm_hg_shrunk,yeast,1484,10,8,10,0.142915889,12.13676557,3.793450399
kmeans,facebook_live_sellers,7050,4,9,1,0.095983414,2.00E+09,0.131842955
kmeans_hg,facebook_live_sellers,7050,4,9,1,0.088562194,2.00E+09,7.584932186
gmm,facebook_live_sellers,7050,4,9,1,0.111543629,5.966892679,0.738675913
gmm_ms,facebook_live_sellers,7050,4,9,1,0.115068002,7.31608818,326.1301577
gmm_rs,facebook_live_sellers,7050,4,9,1,0.114583351,7.204150643,156.2147205
gmm_hg,facebook_live_sellers,7050,4,9,1,0.112152121,7.225809025,138.4184148
gmm_shrunk,facebook_live_sellers,7050,4,9,1,0.225393589,-44.37847602,0.255442114
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,1,0.235714577,-43.15716415,84.99973647
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,1,0.226849444,-43.79834883,17.74452666
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,1,0.226326656,-43.78629158,16.73257692
kmeans,handwritten_digits,5620,10,62,1,0.669966515,3.68E+06,0.450983462
kmeans_hg,handwritten_digits,5620,10,62,1,0.671227896,3.68E+06,38.67468416
gmm,handwritten_digits,5620,10,62,1,0.1707098,-17.87130605,1.913309619
gmm_ms,handwritten_digits,5620,10,62,1,0.345097373,-11.09467557,1275.128942
gmm_rs,handwritten_digits,5620,10,62,1,0.174833302,-13.606406,520.509184
gmm_hg,handwritten_digits,5620,10,62,1,0.236540758,-4.901060337,278.6980812
gmm_shrunk,handwritten_digits,5620,10,62,1,0.643415263,-121.5347816,5.198431046
gmm_ms_shrunk,handwritten_digits,5620,10,62,1,0.796947208,-118.6527189,1218.858474
gmm_rs_shrunk,handwritten_digits,5620,10,62,1,0.798867624,-118.6196914,338.3826223
gmm_hg_shrunk,handwritten_digits,5620,10,62,1,0.795676551,-118.7466077,178.1541364
kmeans,hcv,589,5,12,1,0.443600369,1.64E+06,0.006745797
kmeans_hg,hcv,589,5,12,1,0.463843259,1.64E+06,0.682496574
gmm,hcv,589,5,12,1,0.21084383,-36.91264548,0.017025572
gmm_ms,hcv,589,5,12,1,0.12191324,-3.636897475,373.4895682
gmm_rs,hcv,589,5,12,1,0.117696841,-4.134380357,260.3512681
gmm_hg,hcv,589,5,12,1,0.107498535,-3.869403152,795.840579
gmm_shrunk,hcv,589,5,12,1,0.465966681,-39.94736798,0.005996998
gmm_ms_shrunk,hcv,589,5,12,1,0.279583213,-39.63832409,6.544971102
gmm_rs_shrunk,hcv,589,5,12,1,0.469435802,-39.87613646,0.752643677
gmm_hg_shrunk,hcv,589,5,12,1,0.470467136,-39.76059499,3.321995227
kmeans,image_segmentation,2310,7,18,1,0.360937329,1.44E+07,0.021607632
kmeans_hg,image_segmentation,2310,7,18,1,0.338625379,1.34E+07,6.351381976
gmm,image_segmentation,2310,7,18,1,0.285300143,25.32153033,0.070433811
gmm_ms,image_segmentation,2310,7,18,1,0.281696533,30.45885909,397.608246
gmm_rs,image_segmentation,2310,7,18,1,0.285300143,25.32153033,9.040015848
gmm_hg,image_segmentation,2310,7,18,1,0.266800654,25.85931869,56.4418949
gmm_shrunk,image_segmentation,2310,7,18,1,0.467556352,-59.57143299,0.316078404
gmm_ms_shrunk,image_segmentation,2310,7,18,1,0.496761166,-57.8686488,66.71464913
gmm_rs_shrunk,image_segmentation,2310,7,18,1,0.468200411,-59.559743,9.702237529
gmm_hg_shrunk,image_segmentation,2310,7,18,1,0.496761166,-57.8686488,15.25964441
kmeans,ionosphere,351,2,33,1,0.172844517,2419.40923,0.001199912
kmeans_hg,ionosphere,351,2,33,1,0.177606855,2419.364807,0.226437655
gmm,ionosphere,351,2,33,1,0.393931034,2.10856438,0.014984674
gmm_ms,ionosphere,351,2,33,1,0.742392259,27.99227087,3.273644593
gmm_rs,ionosphere,351,2,33,1,0.684419886,28.23993716,1.639947121
gmm_hg,ionosphere,351,2,33,1,0.722790017,28.34266376,2.357406667
gmm_shrunk,ionosphere,351,2,33,1,0.701328591,-0.772578335,0.010682336
gmm_ms_shrunk,ionosphere,351,2,33,1,0.731723251,-0.3437943,3.707982047
gmm_rs_shrunk,ionosphere,351,2,33,1,0.721753623,-0.252272704,0.718359728
gmm_hg_shrunk,ionosphere,351,2,33,1,0.74175062,-0.311304949,0.904710793
kmeans,iris,150,3,4,1,0.420544357,145.279322,0.000263612
kmeans_hg,iris,150,3,4,1,0.730238272,78.94084143,0.032540452
gmm,iris,150,3,4,1,0.465107386,-1.307330496,0.001091109
gmm_ms,iris,150,3,4,1,0.531229047,-0.932122704,0.499638917
gmm_rs,iris,150,3,4,1,0.560909984,-0.841680298,0.314460326
gmm_hg,iris,150,3,4,1,0.903874232,-1.206646391,0.437245049
gmm_shrunk,iris,150,3,4,1,0.453057901,-1.486961614,0.000585781
gmm_ms_shrunk,iris,150,3,4,1,0.94104498,-1.321840213,0.35305784
gmm_rs_shrunk,iris,150,3,4,1,0.94104498,-1.322616931,0.421574001
gmm_hg_shrunk,iris,150,3,4,1,0.94104498,-1.322600664,0.248246858
kmeans,magic,19020,2,10,1,0.059461797,2.01E+08,0.180881021
kmeans_hg,magic,19020,2,10,1,0.059461797,2.01E+08,20.52786146
gmm,magic,19020,2,10,1,0.061642709,-28.43793607,0.332133293
gmm_ms,magic,19020,2,10,1,0.059639247,-28.43696174,43.55088194
gmm_rs,magic,19020,2,10,1,0.05768517,-28.43758004,20.88456502
gmm_hg,magic,19020,2,10,1,0.059075807,-28.437054,14.10301852
gmm_shrunk,magic,19020,2,10,1,0.179211989,-42.50292675,0.094435751
gmm_ms_shrunk,magic,19020,2,10,1,0.127725895,-41.92622344,56.2553806
gmm_rs_shrunk,magic,19020,2,10,1,0.179235947,-42.50053513,22.83629591
gmm_hg_shrunk,magic,19020,2,10,1,0.134709509,-41.90078164,24.99882402
kmeans,seeds,210,3,7,1,0.716619856,587.3186116,0.000929694
kmeans_hg,seeds,210,3,7,1,0.716619856,587.3186116,0.091772397
gmm,seeds,210,3,7,1,0.59421078,5.71446541,0.002522376
gmm_ms,seeds,210,3,7,1,0.561765622,6.104992875,1.128533867
gmm_rs,seeds,210,3,7,1,0.629879608,6.079291537,0.267614065
gmm_hg,seeds,210,3,7,1,0.561765622,6.104874693,0.153537413
gmm_shrunk,seeds,210,3,7,1,0.50256565,-2.810286285,0.002920101
gmm_ms_shrunk,seeds,210,3,7,1,0.689432562,-1.791928692,0.756366491
gmm_rs_shrunk,seeds,210,3,7,1,0.721256868,-1.794503537,0.197314022
gmm_hg_shrunk,seeds,210,3,7,1,0.721256868,-1.793904125,0.389578445
kmeans,spect,267,2,22,1,-0.031700204,1006.363975,0.00094477
kmeans_hg,spect,267,2,22,1,-0.002881882,1005.130159,0.149230743
gmm,spect,267,2,22,1,-0.056072466,-3.221942395,0.007057529
gmm_ms,spect,267,2,22,1,0.037614233,7.567826453,6.3616193
gmm_rs,spect,267,2,22,1,0.085750425,7.361149435,0.319596989
gmm_hg,spect,267,2,22,1,0.115051104,9.746107329,0.860808398
gmm_shrunk,spect,267,2,22,1,-0.049125318,-7.060564686,0.005135747
gmm_ms_shrunk,spect,267,2,22,1,0.037614233,-5.329025023,2.142595319
gmm_rs_shrunk,spect,267,2,22,1,0.286211466,-3.953735539,0.414390592
gmm_hg_shrunk,spect,267,2,22,1,0.265653335,-4.066759712,0.819952907
kmeans,wholesale,440,6,6,1,0.14499905,5.13E+10,0.001217943
kmeans_hg,wholesale,440,6,6,1,0.114522801,4.65E+10,0.449221964
gmm,wholesale,440,6,6,1,0.102973778,-55.16267192,0.005285391
gmm_ms,wholesale,440,6,6,1,0.112622083,-54.63698912,3.87076214
gmm_rs,wholesale,440,6,6,1,0.162367276,-54.46990789,1.782438237
gmm_hg,wholesale,440,6,6,1,0.114907441,-54.49257261,7.214359652
gmm_shrunk,wholesale,440,6,6,1,0.224090762,-56.26174636,0.009905892
gmm_ms_shrunk,wholesale,440,6,6,1,0.174532775,-55.92539577,5.246625967
gmm_rs_shrunk,wholesale,440,6,6,1,0.230525652,-56.22918715,1.525906382
gmm_hg_shrunk,wholesale,440,6,6,1,0.145569026,-55.95656333,1.322067306
kmeans,wines,178,3,13,1,0.351772152,2.63E+06,0.001110551
kmeans_hg,wines,178,3,13,1,0.371113718,2.37E+06,0.104187905
gmm,wines,178,3,13,1,0.334819241,-16.71414261,0.001907604
gmm_ms,wines,178,3,13,1,0.061922037,-15.08331431,1.384483134
gmm_rs,wines,178,3,13,1,0.440322845,-15.99330463,0.409783337
gmm_hg,wines,178,3,13,1,0.459761885,-15.58561436,0.244388535
gmm_shrunk,wines,178,3,13,1,0.302824312,-49.19078499,0.03363385
gmm_ms_shrunk,wines,178,3,13,1,0.324216164,-48.95124364,12.49151715
gmm_rs_shrunk,wines,178,3,13,1,0.346927587,-47.73446075,4.254531676
gmm_hg_shrunk,wines,178,3,13,1,0.346927587,-47.04394668,8.232785324
kmeans,yeast,1484,10,8,1,0.137340397,46.42889718,0.012025302
kmeans_hg,yeast,1484,10,8,1,0.147164734,45.24493879,4.602669866
gmm,yeast,1484,10,8,1,0.050587297,31.65846839,0.047928649
gmm_ms,yeast,1484,10,8,1,0.051259972,44.50569781,145.3455238
gmm_rs,yeast,1484,10,8,1,0.005173617,42.48334516,451.5080981
gmm_hg,yeast,1484,10,8,1,0.002372195,42.43123845,461.8400398
gmm_shrunk,yeast,1484,10,8,1,0.123141047,11.98401768,0.037820862
gmm_ms_shrunk,yeast,1484,10,8,1,0.208736239,12.17602685,16.51633246
gmm_rs_shrunk,yeast,1484,10,8,1,0.170525162,12.09856284,3.466017834
gmm_hg_shrunk,yeast,1484,10,8,1,0.20898783,12.14624043,4.082787283
kmeans,facebook_live_sellers,7050,4,9,2,0.095983414,2.00E+09,0.13361019
kmeans_hg,facebook_live_sellers,7050,4,9,2,0.088766491,2.00E+09,8.653769904
gmm,facebook_live_sellers,7050,4,9,2,0.104522773,6.52013425,0.098654143
gmm_ms,facebook_live_sellers,7050,4,9,2,0.077620018,6.798059181,239.9404447
gmm_rs,facebook_live_sellers,7050,4,9,2,0.112471475,7.153470336,93.52368278
gmm_hg,facebook_live_sellers,7050,4,9,2,0.078051016,6.798576159,44.33421937
gmm_shrunk,facebook_live_sellers,7050,4,9,2,0.225393589,-44.37798272,0.176945635
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,2,0.131604438,-42.39328894,63.36683349
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,2,0.227114782,-43.89889942,13.04601318
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,2,0.226197821,-43.78416365,14.0915292
kmeans,handwritten_digits,5620,10,62,2,0.571170338,3.77E+06,0.331183236
kmeans_hg,handwritten_digits,5620,10,62,2,0.671639028,3.68E+06,67.05209129
gmm,handwritten_digits,5620,10,62,2,0.296406322,-18.02751399,2.404561862
gmm_ms,handwritten_digits,5620,10,62,2,0.261845836,-12.93440964,1135.381925
gmm_rs,handwritten_digits,5620,10,62,2,0.193977156,-11.7622013,177.6080766
gmm_hg,handwritten_digits,5620,10,62,2,0.224759756,-5.68935052,343.9989379
gmm_shrunk,handwritten_digits,5620,10,62,2,0.724428433,-119.3123954,3.865427482
gmm_ms_shrunk,handwritten_digits,5620,10,62,2,0.784576029,-118.6438269,1143.326947
gmm_rs_shrunk,handwritten_digits,5620,10,62,2,0.784132506,-118.6235989,549.3529563
gmm_hg_shrunk,handwritten_digits,5620,10,62,2,0.799040898,-118.6005503,303.1247446
kmeans,hcv,589,5,12,2,0.443600369,1.64E+06,0.005447327
kmeans_hg,hcv,589,5,12,2,0.463843259,1.64E+06,0.704614759
gmm,hcv,589,5,12,2,0.279190329,-36.70206538,0.015036934
gmm_ms,hcv,589,5,12,2,0.133029698,-3.630694073,317.7872192
gmm_rs,hcv,589,5,12,2,0.114088409,-4.226271186,239.7810253
gmm_hg,hcv,589,5,12,2,0.120597664,-3.50718235,293.844059
gmm_shrunk,hcv,589,5,12,2,0.464851133,-39.90051978,0.006466334
gmm_ms_shrunk,hcv,589,5,12,2,0.289052605,-39.54269197,6.187841626
gmm_rs_shrunk,hcv,589,5,12,2,0.419209709,-39.79342337,2.138844468
gmm_hg_shrunk,hcv,589,5,12,2,0.325231737,-39.75493427,1.370818957
kmeans,image_segmentation,2310,7,18,2,0.25731726,1.45E+07,0.14682052
kmeans_hg,image_segmentation,2310,7,18,2,0.338625379,1.34E+07,7.784245327
gmm,image_segmentation,2310,7,18,2,0.305886768,24.26480775,0.27743104
gmm_ms,image_segmentation,2310,7,18,2,0.258077702,31.53115466,347.0779859
gmm_rs,image_segmentation,2310,7,18,2,0.305886768,24.26480775,4.868585938
gmm_hg,image_segmentation,2310,7,18,2,0.226555207,27.32962759,42.81135964
gmm_shrunk,image_segmentation,2310,7,18,2,0.323150124,-60.54596203,0.138853908
gmm_ms_shrunk,image_segmentation,2310,7,18,2,0.403966441,-58.57114398,54.93515646
gmm_rs_shrunk,image_segmentation,2310,7,18,2,0.326874872,-59.00488166,20.5261305
gmm_hg_shrunk,image_segmentation,2310,7,18,2,0.336181039,-58.99670595,26.36304748
kmeans,ionosphere,351,2,33,2,0.177606855,2419.364807,0.000973057
kmeans_hg,ionosphere,351,2,33,2,0.177606855,2419.364807,0.155800806
gmm,ionosphere,351,2,33,2,0.068115729,-8.453904622,0.00533036
gmm_ms,ionosphere,351,2,33,2,0.742392259,27.42525204,2.697461072
gmm_rs,ionosphere,351,2,33,2,0.752298398,28.02034173,12.09494949
gmm_hg,ionosphere,351,2,33,2,0.684419886,28.21725635,35.00067669
gmm_shrunk,ionosphere,351,2,33,2,0.691500338,-0.841666016,0.015510552
gmm_ms_shrunk,ionosphere,351,2,33,2,0.731723251,-0.343475274,3.172518186
gmm_rs_shrunk,ionosphere,351,2,33,2,0.74175062,-0.311342296,1.841732643
gmm_hg_shrunk,ionosphere,351,2,33,2,0.74175062,-0.311315453,1.507481919
kmeans,iris,150,3,4,2,0.716342113,78.94506583,0.000416234
kmeans_hg,iris,150,3,4,2,0.730238272,78.94084143,0.032061204
gmm,iris,150,3,4,2,0.519491723,-1.401725014,0.000501735
gmm_ms,iris,150,3,4,2,0.558081707,-0.975474876,0.484461654
gmm_rs,iris,150,3,4,2,0.903874232,-1.20664639,0.178696478
gmm_hg,iris,150,3,4,2,0.903874232,-1.20664639,0.413803818
gmm_shrunk,iris,150,3,4,2,0.568115942,-1.555434423,0.000516537
gmm_ms_shrunk,iris,150,3,4,2,0.94104498,-1.322084288,0.472441565
gmm_rs_shrunk,iris,150,3,4,2,0.94104498,-1.32261476,0.201317118
gmm_hg_shrunk,iris,150,3,4,2,0.94104498,-1.322084288,0.214402534
kmeans,magic,19020,2,10,2,0.059461797,2.01E+08,0.176865322
kmeans_hg,magic,19020,2,10,2,0.059461797,2.01E+08,20.16982535
gmm,magic,19020,2,10,2,0.060948435,-28.4375973,0.050419918
gmm_ms,magic,19020,2,10,2,0.059668439,-28.43699116,43.58085873
gmm_rs,magic,19020,2,10,2,0.059155611,-28.43709523,19.63222453
gmm_hg,magic,19020,2,10,2,0.059668439,-28.43699116,13.31033674
gmm_shrunk,magic,19020,2,10,2,0.179235947,-42.50104867,0.111074485
gmm_ms_shrunk,magic,19020,2,10,2,0.147622969,-42.02220516,46.20104348
gmm_rs_shrunk,magic,19020,2,10,2,0.179235947,-42.50053536,42.0955786
gmm_hg_shrunk,magic,19020,2,10,2,0.160301431,-42.15753633,20.55205246
kmeans,seeds,210,3,7,2,0.716619856,587.3186116,0.00031567
kmeans_hg,seeds,210,3,7,2,0.716619856,587.3186116,0.059857699
gmm,seeds,210,3,7,2,0.470558835,5.357451135,0.002967163
gmm_ms,seeds,210,3,7,2,0.561765622,6.104993976,0.773371969
gmm_rs,seeds,210,3,7,2,0.482964487,5.540801059,2.328532408
gmm_hg,seeds,210,3,7,2,0.578951491,6.105320662,0.412705775
gmm_shrunk,seeds,210,3,7,2,0.721256868,-1.795719003,0.001891365
gmm_ms_shrunk,seeds,210,3,7,2,0.721256868,-1.794203766,0.707801056
gmm_rs_shrunk,seeds,210,3,7,2,0.721256868,-1.794690243,0.310493269
gmm_hg_shrunk,seeds,210,3,7,2,0.721256868,-1.793902862,0.301189974
kmeans,spect,267,2,22,2,-0.002079172,1005.189771,0.00103437
kmeans_hg,spect,267,2,22,2,-0.002881882,1005.130159,0.21967822
gmm,spect,267,2,22,2,-0.074805154,-3.183615729,0.006094978
gmm_ms,spect,267,2,22,2,-0.059696728,20.07183508,2.030115857
gmm_rs,spect,267,2,22,2,0.357695242,5.758596224,0.315569574
gmm_hg,spect,267,2,22,2,0.147787066,8.859834369,0.62792198
gmm_shrunk,spect,267,2,22,2,-0.061443499,-7.156984206,0.004387355
gmm_ms_shrunk,spect,267,2,22,2,0.033059362,-5.296631542,2.21176054
gmm_rs_shrunk,spect,267,2,22,2,0.351918556,-3.956605946,0.229830608
gmm_hg_shrunk,spect,267,2,22,2,0.229330253,-3.933247328,0.793548807
kmeans,wholesale,440,6,6,2,0.16661033,4.83E+10,0.001504621
kmeans_hg,wholesale,440,6,6,2,0.113090339,4.65E+10,0.470595745
gmm,wholesale,440,6,6,2,0.089270111,-55.28535994,0.008329505
gmm_ms,wholesale,440,6,6,2,0.109485466,-54.50455143,3.811474946
gmm_rs,wholesale,440,6,6,2,0.105884667,-54.48903455,2.166979647
gmm_hg,wholesale,440,6,6,2,0.171683808,-54.40999835,2.520137199
gmm_shrunk,wholesale,440,6,6,2,0.160220476,-56.16816817,0.002410897
gmm_ms_shrunk,wholesale,440,6,6,2,0.129565737,-55.95436155,4.061035662
gmm_rs_shrunk,wholesale,440,6,6,2,0.160220476,-56.16816817,0.914239599
gmm_hg_shrunk,wholesale,440,6,6,2,0.19417563,-56.01513349,0.764035271
kmeans,wines,178,3,13,2,0.351772152,2.63E+06,0.001020385
kmeans_hg,wines,178,3,13,2,0.371113718,2.37E+06,0.135432456
gmm,wines,178,3,13,2,0.007286424,-16.4509639,0.00108824
gmm_ms,wines,178,3,13,2,-0.005643558,-15.35460382,1.02934193
