algorithm,k,c,d,i,ari,obj,t
gmm_ledoitwolf,3,-0.26,10,1,0.33901473169621194,-37.7479106063585,0.004452196
gmm_ms_ledoitwolf,3,-0.26,10,1,0.4231905796166473,-37.63633558053852,1.35018403
gmm_rs_ledoitwolf,3,-0.26,10,1,0.4252184633516582,-37.61202117068851,0.727145965
gmm_hg_ledoitwolf,3,-0.26,10,1,0.4196689525299051,-37.628573371525064,1.074749419
kmeans,3,-0.26,10,2,0.25185806521559256,285607.6733875562,0.007883574
kmeans_ms,3,-0.26,10,2,0.26317522398539783,285603.95355392684,0.928585611
kmeans_rs,3,-0.26,10,2,0.24844578729183245,285595.33721541066,0.780963369
kmeans_hg,3,-0.26,10,2,0.24844578729183245,285595.33721541066,0.98930091
gmm,3,-0.26,10,2,0.14012805870668704,-36.74010965621961,0.002756809
gmm_ms,3,-0.26,10,2,0.3058366491095299,-36.009414471169656,0.998163146
gmm_rs,3,-0.26,10,2,0.0011131536754892652,-35.130483088082464,32.976527524
gmm_hg,3,-0.26,10,2,0.0008475964883696946,-35.435502815285105,1.576955928
gmm_shrunk,3,-0.26,10,2,0.19982583341543977,-36.803673425281985,0.002602561
gmm_ms_shrunk,3,-0.26,10,2,0.46076585080673066,-36.744115449769126,0.877691506
gmm_rs_shrunk,3,-0.26,10,2,0.22927731356306277,-36.65534552883075,1.093881302
gmm_hg_shrunk,3,-0.26,10,2,0.4405763432265593,-36.74335328110212,0.787946605
gmm_oas,3,-0.26,10,2,0.20457931310945773,-36.76556381199668,0.00599208
gmm_ms_oas,3,-0.26,10,2,0.3447867927583844,-36.704200701795,0.886206953
gmm_rs_oas,3,-0.26,10,2,0.2282153301481074,-36.63711948159284,1.099673075
gmm_hg_oas,3,-0.26,10,2,0.3447867927583844,-36.704200701795,0.677462712
gmm_ledoitwolf,3,-0.26,10,2,0.2004768434731488,-36.78080049454074,0.004075014
gmm_ms_ledoitwolf,3,-0.26,10,2,0.39278246251488796,-36.673431525535996,1.127904902
gmm_rs_ledoitwolf,3,-0.26,10,2,0.1891454463221176,-36.64629832424971,1.17655291
gmm_hg_ledoitwolf,3,-0.26,10,2,0.4022194278269545,-36.67738441833682,1.014883872
kmeans,3,-0.26,20,1,0.10706372806495681,627238.5405072863,0.010952005
kmeans_ms,3,-0.26,20,1,0.1994582537961401,621682.1362454082,1.251805714
kmeans_rs,3,-0.26,20,1,0.22110736097374106,621379.932206866,1.149782492
kmeans_hg,3,-0.26,20,1,0.20677450999249847,621537.2322221468,1.491702381
gmm,3,-0.26,20,1,0.009660470719612246,-71.09135485921513,0.008045277
gmm_ms,3,-0.26,20,1,0.007384729599414136,-69.41478501895584,2.724926618
gmm_rs,3,-0.26,20,1,0.002451691190865128,-66.10400326538189,0.596074025
gmm_hg,3,-0.26,20,1,0.011449506128628953,-67.75699870319141,1.318921256
gmm_shrunk,3,-0.26,20,1,0.020751967402627268,-73.78529331820395,0.002490823
gmm_ms_shrunk,3,-0.26,20,1,0.3956568342350219,-72.90912957135838,1.705491123
gmm_rs_shrunk,3,-0.26,20,1,0.397288503832883,-72.90862069608193,1.250073514
gmm_hg_shrunk,3,-0.26,20,1,0.5704013591489066,-72.8522489307249,1.307147623
gmm_oas,3,-0.26,20,1,0.025181502456758844,-73.60974041265905,0.005249061
gmm_ms_oas,3,-0.26,20,1,0.35295232252454906,-72.94312909470521,1.848142433
gmm_rs_oas,3,-0.26,20,1,0.36480155987721863,-72.86414384879139,1.155498659
gmm_hg_oas,3,-0.26,20,1,0.3923076683729161,-72.85683867001256,1.456162012
gmm_ledoitwolf,3,-0.26,20,1,0.24065936709874022,-73.4850905382065,0.019316152
gmm_ms_ledoitwolf,3,-0.26,20,1,0.3358290065650226,-73.00575543701561,2.195850244
gmm_rs_ledoitwolf,3,-0.26,20,1,0.002793314482340787,-73.26259864916769,0.606679155
gmm_hg_ledoitwolf,3,-0.26,20,1,0.32535089215076535,-73.08488742776733,1.796514087
kmeans,3,-0.26,20,2,0.24408779561021948,680727.9161372334,0.0087678
kmeans_ms,3,-0.26,20,2,0.2839858007099645,679337.0116771907,1.232108957
kmeans_rs,3,-0.26,20,2,0.2687100766738519,679291.0175942136,0.931207537
kmeans_hg,3,-0.26,20,2,0.2687100766738519,679291.0175942136,1.353767377
gmm,3,-0.26,20,2,0.1955811014232815,-74.42827799658905,0.00574392
gmm_ms,3,-0.26,20,2,0.08924137545142342,-69.97230596781249,1.543770103
gmm_rs,3,-0.26,20,2,0.0011690984639776492,-68.88070401728086,0.730051707
gmm_hg,3,-0.26,20,2,0.009483988838748838,-67.13839486342452,3.224755866
gmm_shrunk,3,-0.26,20,2,0.22797313072794154,-74.46371960918604,0.010315586
gmm_ms_shrunk,3,-0.26,20,2,0.5233829013673093,-74.07348215291134,1.528255975
gmm_rs_shrunk,3,-0.26,20,2,0.6359788683504519,-73.9386764963057,0.917508745
gmm_hg_shrunk,3,-0.26,20,2,0.6790738006901842,-73.94568911023396,1.158985545
gmm_oas,3,-0.26,20,2,0.2820443270625882,-74.55526638039035,0.010732984
gmm_ms_oas,3,-0.26,20,2,0.4296427316509066,-74.25534153486765,1.613874753
gmm_rs_oas,3,-0.26,20,2,0.4293575326279293,-74.24069914155461,0.877463775
gmm_hg_oas,3,-0.26,20,2,0.6387205572154948,-74.13600756331685,1.178133154
gmm_ledoitwolf,3,-0.26,20,2,0.23790585435598186,-74.81395050200969,0.006858933
gmm_ms_ledoitwolf,3,-0.26,20,2,0.5865388199460586,-74.3576729478226,2.04702848
gmm_rs_ledoitwolf,3,-0.26,20,2,0.0029081570909458114,-74.3941037120463,0.627898761
gmm_hg_ledoitwolf,3,-0.26,20,2,0.6393248499449646,-74.33670391839034,1.635024397
kmeans,3,-0.26,30,1,0.05148686994356351,1.2783783947246152e6,0.006576227
kmeans_ms,3,-0.26,30,1,0.08362901491562658,1.2471184119692158e6,1.445638641
kmeans_rs,3,-0.26,30,1,0.0685333789918282,1.2473669243311293e6,1.096068949
kmeans_hg,3,-0.26,30,1,0.04981347000232614,1.2465004255229582e6,1.432509193
gmm,3,-0.26,30,1,0.086285249947332,-110.7051372483702,0.022286859
gmm_ms,3,-0.26,30,1,0.01929934027438039,-100.86633585961339,3.195763009
gmm_rs,3,-0.26,30,1,0.0018346286518906988,-101.66112840943096,0.945803633
gmm_hg,3,-0.26,30,1,0.008511440048358077,-100.35076044098747,3.757378941
gmm_shrunk,3,-0.26,30,1,0.12521564707371652,-113.78500937862802,0.011386858
gmm_ms_shrunk,3,-0.26,30,1,0.2932544119966166,-112.80290076754963,1.567178153
gmm_rs_shrunk,3,-0.26,30,1,0.48451799177231886,-112.46529250361647,1.037156921
gmm_hg_shrunk,3,-0.26,30,1,0.4113171017706441,-112.35959759268563,1.541611417
gmm_oas,3,-0.26,30,1,0.3352800017111044,-113.16282607586487,0.011480118
gmm_ms_oas,3,-0.26,30,1,0.4312690395479559,-112.70056429842026,2.172967633
gmm_rs_oas,3,-0.26,30,1,0.46593285261188566,-112.55944763248641,0.958743902
gmm_hg_oas,3,-0.26,30,1,0.43966151163644207,-112.56231372254993,1.780591467
gmm_ledoitwolf,3,-0.26,30,1,0.44052276762873566,-113.82901082088785,0.01023515
gmm_ms_ledoitwolf,3,-0.26,30,1,0.3926702217691314,-113.3593729332017,3.043664524
gmm_rs_ledoitwolf,3,-0.26,30,1,0.00650778569821886,-113.56172491545576,0.856810311
gmm_hg_ledoitwolf,3,-0.26,30,1,0.012148897750108358,-113.34814860125077,2.495133786
kmeans,3,-0.26,30,2,0.2303628174204935,936031.2480856642,0.006238735
kmeans_ms,3,-0.26,30,2,0.3638925709165224,929174.6553700682,1.469091834
kmeans_rs,3,-0.26,30,2,0.37051343713294654,929069.6448692456,1.125910334
kmeans_hg,3,-0.26,30,2,0.3638925709165224,929174.6553700682,1.317197779
gmm,3,-0.26,30,2,0.03786106448692201,-109.384649501268,0.004713913
gmm_ms,3,-0.26,30,2,0.007309318337898684,-97.26693499318829,3.961405425
gmm_rs,3,-0.26,30,2,0.006192919711568004,-100.05394296635069,0.87496989
gmm_hg,3,-0.26,30,2,-0.00013924979297055552,-96.63851251447353,1.46701842
gmm_shrunk,3,-0.26,30,2,0.042908021497789196,-109.65986520400239,0.005329191
gmm_ms_shrunk,3,-0.26,30,2,0.3526885169397783,-108.81795397624961,1.552373639
gmm_rs_shrunk,3,-0.26,30,2,0.23788353672542437,-109.01486357707721,0.673365741
gmm_hg_shrunk,3,-0.26,30,2,0.34251120093878046,-108.601599743416,1.448119508
gmm_oas,3,-0.26,30,2,0.16828521967658464,-109.53137406637215,0.016906724
gmm_ms_oas,3,-0.26,30,2,0.4856024774736876,-108.93146146189987,1.973126671
gmm_rs_oas,3,-0.26,30,2,0.0049393997936988746,-109.1610153037551,0.852510177
gmm_hg_oas,3,-0.26,30,2,0.3361819252820057,-108.66490827051496,1.442627636
gmm_ledoitwolf,3,-0.26,30,2,0.20023434073285096,-109.8105226219143,0.026231657
gmm_ms_ledoitwolf,3,-0.26,30,2,0.26962123406153865,-109.11977029628059,3.005021853
gmm_rs_ledoitwolf,3,-0.26,30,2,0.0068288833952549356,-109.30149172534465,0.661663662
gmm_hg_ledoitwolf,3,-0.26,30,2,0.35411619789319576,-109.0172877839157,1.908744879
kmeans,3,-0.26,40,1,0.14658684477182393,1.2105567347754745e6,0.005452007
kmeans_ms,3,-0.26,40,1,0.13465939643390454,1.1964428126627393e6,1.643726682
kmeans_rs,3,-0.26,40,1,0.15674639838817073,1.1964474803277669e6,0.906343365
kmeans_hg,3,-0.26,40,1,0.10393813884008996,1.1962568961757743e6,1.431465855
gmm,3,-0.26,40,1,0.03981952953532006,-121.58466142629746,0.010316358
gmm_ms,3,-0.26,40,1,0.03981952953532006,-121.58466142629746,3.347179455
gmm_rs,3,-0.26,40,1,0.03981952953532006,-121.58466142629746,1.32628023
gmm_hg,3,-0.26,40,1,0.0034396361318935007,-121.10030872666022,4.547465666
gmm_shrunk,3,-0.26,40,1,0.03981952953532006,-143.48368499775816,0.004352011
gmm_ms_shrunk,3,-0.26,40,1,0.29394413870529545,-143.02754330243317,3.273551887
gmm_rs_shrunk,3,-0.26,40,1,0.47503235952669964,-141.9891594064916,2.117883617
gmm_hg_shrunk,3,-0.26,40,1,0.412388295414386,-141.9828775488157,2.868747414
gmm_oas,3,-0.26,40,1,0.03981952953532006,-143.4796609754972,0.004330784
gmm_ms_oas,3,-0.26,40,1,0.3411654099130898,-142.79253511699142,4.29214218
gmm_rs_oas,3,-0.26,40,1,0.4839434364112905,-142.32433003757393,2.239155972
gmm_hg_oas,3,-0.26,40,1,0.41048653478830066,-142.45045011328057,3.199155266
gmm_ledoitwolf,3,-0.26,40,1,0.03981952953532006,-144.20997258141975,0.006385947
gmm_ms_ledoitwolf,3,-0.26,40,1,0.3620892272620106,-144.05629516401328,6.814096505
gmm_rs_ledoitwolf,3,-0.26,40,1,0.03428197564656007,-143.68671822185212,2.487998477
gmm_hg_ledoitwolf,3,-0.26,40,1,0.02097254609402332,-143.71972801706016,4.438540986
kmeans,3,-0.26,40,2,0.02478987773773536,1.2350461792557226e6,0.005123836
kmeans_ms,3,-0.26,40,2,0.19054311578529187,1.205486437810878e6,1.601812231
kmeans_rs,3,-0.26,40,2,0.14565647110664642,1.2051125436634154e6,1.069219141
kmeans_hg,3,-0.26,40,2,0.19523296162843456,1.204918236956631e6,1.642581587
gmm,3,-0.26,40,2,-0.0011052156657479625,-138.14198940872987,0.013301219
gmm_ms,3,-0.26,40,2,0.0057002001383561094,-120.97423414642311,5.032934523
gmm_rs,3,-0.26,40,2,0.0008475964883696946,-133.39060477441382,1.663354472
gmm_hg,3,-0.26,40,2,0.000535916457489744,-120.21714840513167,4.841990229
gmm_shrunk,3,-0.26,40,2,-0.0006031357121770327,-143.94314041138392,0.011755738
gmm_ms_shrunk,3,-0.26,40,2,0.10393000271362884,-142.66326685442283,3.035987818
gmm_rs_shrunk,3,-0.26,40,2,0.021117840091285398,-142.57527900756912,1.144518903
gmm_hg_shrunk,3,-0.26,40,2,0.32294715477401453,-141.92175235388675,2.690242071
gmm_oas,3,-0.26,40,2,-0.0009781240268907135,-144.27491413076842,0.021110932
gmm_ms_oas,3,-0.26,40,2,0.0932999737675944,-143.0375601747848,4.053540623
gmm_rs_oas,3,-0.26,40,2,0.021315885136379106,-142.83503121473152,1.393272373
gmm_hg_oas,3,-0.26,40,2,0.21749127044006084,-142.50670575333532,3.028286689
gmm_ledoitwolf,3,-0.26,40,2,-0.0007110335849555106,-145.10548567755464,0.030756942
gmm_ms_ledoitwolf,3,-0.26,40,2,0.00428311429488785,-143.76937905023516,5.089324928
gmm_rs_ledoitwolf,3,-0.26,40,2,0.0008719580820496574,-144.29483261099358,1.666534347
gmm_hg_ledoitwolf,3,-0.26,40,2,0.01900562756028543,-143.59274737057268,3.680463954
kmeans,3,-0.1,2,1,0.724624296910825,59589.748565914764,0.001759893
kmeans_ms,3,-0.1,2,1,0.7491389474520588,59567.59435609126,0.45483021
kmeans_rs,3,-0.1,2,1,0.7491389474520588,59567.59435609126,0.361731968
kmeans_hg,3,-0.1,2,1,0.7491389474520588,59567.59435609126,0.434372822
gmm,3,-0.1,2,1,0.3689239497756531,-8.460018065928786,0.001183539
gmm_ms,3,-0.1,2,1,0.7576623128055856,-8.410320416955564,0.309601363
gmm_rs,3,-0.1,2,1,0.7672475447634516,-8.409850195533808,0.231271248
gmm_hg,3,-0.1,2,1,0.7672475447634516,-8.410017976098327,0.381129726
gmm_shrunk,3,-0.1,2,1,0.7413016445414982,-8.417157233551688,0.003020589
gmm_ms_shrunk,3,-0.1,2,1,0.7673854859214124,-8.411536273218776,0.294929063
gmm_rs_shrunk,3,-0.1,2,1,0.7673854859214124,-8.411471456827774,0.273637161
gmm_hg_shrunk,3,-0.1,2,1,0.7673854859214124,-8.411505677647533,0.363373887
gmm_oas,3,-0.1,2,1,0.7330838625049648,-8.417805879459607,0.002864621
gmm_ms_oas,3,-0.1,2,1,0.7673854859214124,-8.411762025831392,0.296165493
gmm_rs_oas,3,-0.1,2,1,0.7761150391220695,-8.410955897570519,0.226181441
gmm_hg_oas,3,-0.1,2,1,0.7761150391220695,-8.411003735608782,0.373250498
gmm_ledoitwolf,3,-0.1,2,1,0.7487281289558086,-8.414379642875867,0.003353825
gmm_ms_ledoitwolf,3,-0.1,2,1,0.7578058668552605,-8.410740047540497,0.319609871
gmm_rs_ledoitwolf,3,-0.1,2,1,0.7673854859214124,-8.410565996548852,0.201799412
gmm_hg_ledoitwolf,3,-0.1,2,1,0.7673854859214124,-8.410598982199813,0.369943034
kmeans,3,-0.1,2,2,0.5705697143645574,83354.78136605232,0.002113758
kmeans_ms,3,-0.1,2,2,0.5689315952461116,83338.91570844519,0.695911516
kmeans_rs,3,-0.1,2,2,0.5689315952461116,83338.91570844519,0.458618839
kmeans_hg,3,-0.1,2,2,0.5689315952461116,83338.91570844519,0.605675106
gmm,3,-0.1,2,2,0.5460316245592916,-8.453575445212072,0.000799454
gmm_ms,3,-0.1,2,2,0.7543407623205607,-8.448731654989148,0.422857011
gmm_rs,3,-0.1,2,2,0.7568829625886431,-8.44868326093644,0.211889273
gmm_hg,3,-0.1,2,2,0.7653888316472011,-8.448740311867866,0.270376384
gmm_shrunk,3,-0.1,2,2,0.5571721064950655,-8.471149393347892,0.000476076
gmm_ms_shrunk,3,-0.1,2,2,0.5571721064950655,-8.471149393347892,0.296915678
gmm_rs_shrunk,3,-0.1,2,2,0.5799194209660846,-8.47091073224141,0.231047558
gmm_hg_shrunk,3,-0.1,2,2,0.561401978890588,-8.471078903169422,0.325081156
gmm_oas,3,-0.1,2,2,0.5469336296415938,-8.455007282055481,0.000510506
gmm_ms_oas,3,-0.1,2,2,0.7543407623205607,-8.45110416440163,0.336997433
gmm_rs_oas,3,-0.1,2,2,0.7653888316472011,-8.451087060469112,0.231710027
gmm_hg_oas,3,-0.1,2,2,0.7543407623205607,-8.45105647768088,0.328750601
gmm_ledoitwolf,3,-0.1,2,2,0.5469336296415938,-8.456285728753182,0.00063811
gmm_ms_ledoitwolf,3,-0.1,2,2,0.5995805987169315,-8.455686151060812,0.396397572
gmm_rs_ledoitwolf,3,-0.1,2,2,0.5917686632511429,-8.455866194282429,0.23951348
gmm_hg_ledoitwolf,3,-0.1,2,2,0.590440714609652,-8.456005153520584,0.355420926
kmeans,3,-0.1,5,1,0.47412474695874557,270480.1889033559,0.002142922
kmeans_ms,3,-0.1,5,1,0.4765747712778372,267607.4271683745,0.779348109
kmeans_rs,3,-0.1,5,1,0.4765747712778372,267607.4271683745,0.647976716
kmeans_hg,3,-0.1,5,1,0.4765747712778372,267607.4271683745,0.602785848
gmm,3,-0.1,5,1,0.8636508067604953,-20.342327238857262,0.001841039
gmm_ms,3,-0.1,5,1,0.4717992423058817,-20.01522131575497,0.589345727
gmm_rs,3,-0.1,5,1,0.8636508067604953,-20.340461638092908,0.302944103
gmm_hg,3,-0.1,5,1,0.44833321954847777,-20.20293644361083,0.447962005
gmm_shrunk,3,-0.1,5,1,0.8544262424108597,-20.3555296805623,0.001508998
gmm_ms_shrunk,3,-0.1,5,1,0.8730537769847101,-20.354967917661927,0.538233942
gmm_rs_shrunk,3,-0.1,5,1,0.8637791677689185,-20.35484080731453,0.299527183
gmm_hg_shrunk,3,-0.1,5,1,0.8637791677689185,-20.354830404369924,0.448726868
gmm_oas,3,-0.1,5,1,0.8544262424108597,-20.353007886705896,0.001545251
gmm_ms_oas,3,-0.1,5,1,0.8544262424108597,-20.35238166128635,0.543670619
gmm_rs_oas,3,-0.1,5,1,0.8730537769847101,-20.35194410080994,0.322811164
gmm_hg_oas,3,-0.1,5,1,0.8730537769847101,-20.352043529244376,0.469418122
gmm_ledoitwolf,3,-0.1,5,1,0.8636508067604953,-20.346732301411585,0.0020217
gmm_ms_ledoitwolf,3,-0.1,5,1,0.8636508067604953,-20.34633232307439,0.704399109
gmm_rs_ledoitwolf,3,-0.1,5,1,0.8730537769847101,-20.346185522655528,0.373356086
gmm_hg_ledoitwolf,3,-0.1,5,1,0.8636508067604953,-20.346156134233805,0.547532519
kmeans,3,-0.1,5,2,0.5606640465698268,161832.79218183196,0.002287252
kmeans_ms,3,-0.1,5,2,0.5684555410008033,161825.77573220717,0.526989843
kmeans_rs,3,-0.1,5,2,0.5684555410008033,161825.77573220717,0.361405693
kmeans_hg,3,-0.1,5,2,0.5684555410008033,161825.77573220717,0.47529605
gmm,3,-0.1,5,2,0.7922930768956472,-18.866645473926468,0.00247692
gmm_ms,3,-0.1,5,2,0.8008626016365475,-18.86588940414481,0.42235655
gmm_rs,3,-0.1,5,2,0.8008626016365475,-18.865853982674068,0.240265766
gmm_hg,3,-0.1,5,2,0.8008626016365475,-18.86586233804458,0.358364361
gmm_shrunk,3,-0.1,5,2,0.7570838857600575,-19.028073686293173,0.002271028
gmm_ms_shrunk,3,-0.1,5,2,0.7654206849664715,-19.024848239847106,0.446578638
gmm_rs_shrunk,3,-0.1,5,2,0.7747034258304589,-19.023979770463278,0.270768036
gmm_hg_shrunk,3,-0.1,5,2,0.7747034258304589,-19.02386341559551,0.387736057
gmm_oas,3,-0.1,5,2,0.747173054811786,-18.964958283116793,0.002484918
